,hs_el_kwh,hs_ng_kwh,cs_el_kwh,fan_el_kwh,fac_ng_kwh,fac_el_kwh,geff_irrad_kwh,cell_temp_degc,pv_yield_kwh,fac_el_net_kwh,pv_consumed_kwh,pv_excess_kwh,self_suff_pct,self_consume_pct,op_em_kgco2,op_em_pv_kgco2,mit_pot_kgco2
2022-01-01 00:00:00,0.0,800.3303088562589,125.02157591269894,118.48419147662646,814.727369108368,642.7402262574759,0.0,0.0,0.0,642.7402262574759,0.0,0.0,0.0,0.0,459.2732834744553,459.2732834744553,0.0
2022-01-01 01:00:00,0.0,791.1457038994849,151.48894880017528,118.48419147662646,814.2542970169831,657.8642590377544,0.0,0.0,0.0,657.8642590377544,0.0,0.0,0.0,0.0,465.27627045148984,465.27627045148984,0.0
2022-01-01 02:00:00,0.0,801.6002830463112,134.582843894017,118.48419147662646,824.707738326523,644.2240802379592,0.0,0.0,0.0,644.2240802379592,0.0,0.0,0.0,0.0,445.4608094220945,445.4608094220945,0.0
2022-01-01 03:00:00,0.0,807.8751334530062,126.76989633300083,118.48419147662646,830.9826497621651,636.0839041449665,0.0,0.0,0.0,636.0839041449665,0.0,0.0,0.0,0.0,443.35977281137826,443.35977281137826,0.0
2022-01-01 04:00:00,0.0,803.9552975414709,133.24721869958572,118.48419147662646,827.0643566687318,676.8405167689396,0.0,0.0,0.0,676.8405167689396,0.0,0.0,0.0,0.0,460.3912246927143,460.3912246927143,0.0
2022-01-01 05:00:00,0.0,805.5575336069745,138.1130996770705,118.48419147662646,837.1624672948193,681.6416683505463,0.0,0.0,0.0,681.6416683505463,0.0,0.0,0.0,0.0,469.4384640894094,469.4384640894094,0.0
2022-01-01 06:00:00,0.0,732.5586765277216,146.8212207406793,118.48419147662646,778.3242786130347,791.1816976457978,0.0,0.0,0.0,791.1816976457978,0.0,0.0,0.0,0.0,513.757341760052,513.757341760052,0.0
2022-01-01 07:00:00,0.0,719.4072000323674,152.12899887252587,118.48419147662646,770.624831070526,796.8750824618104,0.0,0.0,0.0,796.8750824618104,0.0,0.0,0.0,0.0,513.7129212638644,513.7129212638644,0.0
2022-01-01 08:00:00,0.0,655.9905772218011,153.23274093599503,118.48419147662646,738.9250968115107,875.7032589771947,0.0,0.0,0.0,875.7032589771947,0.0,0.0,0.0,0.0,543.7591065809947,543.7591065809947,0.0
2022-01-01 09:00:00,0.0,633.3353359433823,154.17068625111102,118.48419147662646,702.241829387791,874.377994333917,0.0,0.0,0.0,874.377994333917,0.0,0.0,0.0,0.0,530.5886824638729,530.5886824638729,0.0
2022-01-01 10:00:00,0.0,600.9020627821893,156.51035543355619,118.48419147662646,707.108430503451,892.9330771665287,0.0,0.0,0.0,892.9330771665287,0.0,0.0,0.0,0.0,540.3038573911645,540.3038573911645,0.0
2022-01-01 11:00:00,0.0,582.873468659591,156.52545309802008,118.48419147662646,680.244750685693,905.5288957464484,0.0,0.0,0.0,905.5288957464484,0.0,0.0,0.0,0.0,543.382668266443,543.382668266443,0.0
2022-01-01 12:00:00,0.0,562.5496436257105,156.5596760145453,118.48419147662646,668.7603657350858,909.5664651584813,0.0,0.0,0.0,909.5664651584813,0.0,0.0,0.0,0.0,537.3121892332582,537.3121892332582,0.0
2022-01-01 13:00:00,0.0,539.0220389669835,157.0169685927613,118.48419147662646,622.2194688478093,903.8448411711213,0.0,0.0,0.0,903.8448411711213,0.0,0.0,0.0,0.0,526.1707715719815,526.1707715719815,0.0
2022-01-01 14:00:00,0.0,520.235767040743,157.35069759370958,118.48419147662646,598.130053506755,904.9896916618757,0.0,0.0,0.0,904.9896916618757,0.0,0.0,0.0,0.0,523.0186730440894,523.0186730440894,0.0
2022-01-01 15:00:00,0.0,519.7519791113473,157.2650034499095,118.48419147662646,611.7986673230846,900.8749681503234,0.0,0.0,0.0,900.8749681503234,0.0,0.0,0.0,0.0,526.7768446777804,526.7768446777804,0.0
2022-01-01 16:00:00,0.0,555.4754951495639,156.61704298359544,118.48419147662646,667.0038750748406,879.6275718542423,0.0,0.0,0.0,879.6275718542423,0.0,0.0,0.0,0.0,527.3548526721095,527.3548526721095,0.0
2022-01-01 17:00:00,0.0,622.0918856374515,156.52545309802008,118.48419147662646,733.4838335064265,844.5644289668684,0.0,0.0,0.0,844.5644289668684,0.0,0.0,0.0,0.0,514.0200200993125,514.0200200993125,0.0
2022-01-01 18:00:00,0.0,667.4497477782418,145.27546222392698,118.48419147662646,769.8640739107618,780.0490974948535,0.0,0.0,0.0,780.0490974948535,0.0,0.0,0.0,0.0,489.91881696660414,489.91881696660414,0.0
2022-01-01 19:00:00,0.0,679.4931686165457,136.67701004185142,118.48419147662646,753.5832053201323,761.082533377778,0.0,0.0,0.0,761.082533377778,0.0,0.0,0.0,0.0,483.4139668636896,483.4139668636896,0.0
