,hs_el_kwh,hs_ng_kwh,cs_el_kwh,fan_el_kwh,fac_ng_kwh,fac_el_kwh,geff_irrad_kwh,cell_temp_degc,pv_yield_kwh,fac_el_net_kwh,pv_consumed_kwh,pv_excess_kwh,self_suff_pct,self_consume_pct,op_em_kgco2,op_em_pv_kgco2,mit_pot_kgco2
2022-01-01 00:00:00,0.0,94.61954883205856,0.0,40.87887217679567,99.47381271546656,171.65567759067508,0.0,0.0,0.0,171.65567759067508,0.0,0.0,0.0,0.0,81.70785030646276,81.70785030646276,0.0
2022-01-01 01:00:00,0.0,80.23318026204085,0.0,35.3881644002187,85.08744414544884,166.15728255536632,0.0,0.0,0.0,166.15728255536632,0.0,0.0,0.0,0.0,77.56587074534737,77.56587074534737,0.0
2022-01-01 02:00:00,0.0,117.9502168268671,0.0,43.50692321066401,122.8044807102751,174.4148923953352,0.0,0.0,0.0,174.4148923953352,0.0,0.0,0.0,0.0,88.03808278369227,88.03808278369227,0.0
2022-01-01 03:00:00,0.0,72.63873153480812,0.0,34.53852810158538,77.49299541821611,165.31300058589323,0.0,0.0,0.0,165.31300058589323,0.0,0.0,0.0,0.0,76.28060652703473,76.28060652703473,0.0
2022-01-01 04:00:00,0.0,105.09010560251289,0.0,41.3059040184908,109.94436948592089,172.60145979672362,0.0,0.0,0.0,172.60145979672362,0.0,0.0,0.0,0.0,83.46993378926666,83.46993378926666,0.0
2022-01-01 05:00:00,0.0,59.282494131473804,0.0,33.68010358419227,72.72937814027169,164.83395868439518,0.0,0.0,0.0,164.83395868439518,0.0,0.0,0.0,0.0,71.94727126122808,71.94727126122808,0.0
2022-01-01 06:00:00,0.0,110.80991143565748,0.0,39.46042111741536,115.66417531906548,170.7791909138152,0.0,0.0,0.0,170.7791909138152,0.0,0.0,0.0,0.0,80.37096316049781,80.37096316049781,0.0
2022-01-01 07:00:00,0.0,49.0226660026387,0.0,32.82585498094532,53.87692988604671,163.84527585422774,0.0,0.0,0.0,163.84527585422774,0.0,0.0,0.0,0.0,66.48769769559563,66.48769769559563,0.0
2022-01-01 08:00:00,0.0,52.16937278895964,0.0,35.47178856502397,57.023636672367644,144.633009418264,0.0,0.0,0.0,144.633009418264,0.0,0.0,0.0,0.0,59.95435345280782,59.95435345280782,0.0
2022-01-01 09:00:00,0.0,19.545646209903627,0.0,19.36219779356042,32.999944659829524,128.49068425469312,0.0,0.0,0.0,128.49068425469312,0.0,0.0,0.0,0.0,49.353516284096436,49.353516284096436,0.0
2022-01-01 10:00:00,0.0,12.29390099800319,0.0,24.202747241950522,17.14816488141119,133.3111902890831,0.0,0.0,0.0,133.3111902890831,0.0,0.0,0.0,0.0,48.73995130272323,48.73995130272323,0.0
2022-01-01 11:00:00,0.0,3.3284109656285046,0.0,19.36219779356042,8.182674849036506,129.327536333317,0.0,0.0,0.0,129.327536333317,0.0,0.0,0.0,0.0,46.00205803006959,46.00205803006959,0.0
2022-01-01 12:00:00,0.0,23.360675297842114,0.0,24.202747241950522,28.214939181250113,133.25774504570484,0.0,0.0,0.0,133.25774504570484,0.0,0.0,0.0,0.0,50.910115159959304,50.910115159959304,0.0
2022-01-01 13:00:00,0.0,38.41985290329848,0.0,24.69789277278934,51.87401429393825,133.81615664977133,0.0,0.0,0.0,133.81615664977133,0.0,0.0,0.0,0.0,55.96817754009324,55.96817754009324,0.0
2022-01-01 14:00:00,0.0,20.75809075847278,0.0,24.202747241950522,25.612354641880778,133.3282321550218,0.0,0.0,0.0,133.3282321550218,0.0,0.0,0.0,0.0,51.427057216348075,51.427057216348075,0.0
2022-01-01 15:00:00,0.0,16.850604316609104,0.0,19.36219779356042,21.7048682000171,128.4487563249338,0.0,0.0,0.0,128.4487563249338,0.0,0.0,0.0,0.0,48.962656276279034,48.962656276279034,0.0
2022-01-01 16:00:00,0.0,37.09388133554647,0.0,28.649159724641287,41.94814521895447,152.14603207316608,0.0,0.0,0.0,152.14603207316608,0.0,0.0,0.0,0.0,59.0937707431746,59.0937707431746,0.0
2022-01-01 17:00:00,0.0,30.820013485650094,0.0,20.429336789406204,44.265350838130054,151.20610203474197,0.0,0.0,0.0,151.20610203474197,0.0,0.0,0.0,0.0,56.215325725618364,56.215325725618364,0.0
2022-01-01 18:00:00,0.0,46.732401802153404,0.0,34.55596858438579,51.58666568556141,165.36042312131516,0.0,0.0,0.0,165.36042312131516,0.0,0.0,0.0,0.0,61.462721222783884,61.462721222783884,0.0
2022-01-01 19:00:00,0.0,39.2656671509125,0.0,27.169198720528488,44.1199310343205,158.38519100794085,0.0,0.0,0.0,158.38519100794085,0.0,0.0,0.0,0.0,58.934340246593145,58.934340246593145,0.0
2022-01-01 20:00:00,0.0,58.80884247616314,0.0,34.48105411665774,63.663106359571145,165.69896379842098,0.0,0.0,0.0,165.69896379842098,0.0,0.0,0.0,0.0,65.78200297634707,65.78200297634707,0.0
2022-01-01 21:00:00,0.0,86.34040833888689,0.0,34.782414178343245,91.19467222229488,165.83412052551523,0.0,0.0,0.0,165.83412052551523,0.0,0.0,0.0,0.0,72.83972298398353,72.83972298398353,0.0
2022-01-01 22:00:00,0.0,106.13892043037872,0.0,43.634263335165514,110.9931843137867,174.47208326230205,0.0,0.0,0.0,174.47208326230205,0.0,0.0,0.0,0.0,81.74050739126997,81.74050739126997,0.0
