,hs_el_kwh,hs_ng_kwh,cs_el_kwh,fan_el_kwh,fac_ng_kwh,fac_el_kwh,geff_irrad_kwh,cell_temp_degc,pv_yield_kwh,fac_el_net_kwh,pv_consumed_kwh,pv_excess_kwh,self_suff_pct,self_consume_pct,op_em_kgco2,op_em_pv_kgco2,mit_pot_kgco2
2022-01-01 00:00:00,0.0,0.0,0.0,0.0,4.854263883408,118.21159242410135,0.0,0.0,0.0,118.21159242410135,0.0,0.0,0.0,0.0,36.6046481485446,36.6046481485446,0.0
2022-01-01 01:00:00,0.0,0.0,0.0,0.0,4.854263883408,118.18325148843358,0.0,0.0,0.0,118.18325148843358,0.0,0.0,0.0,0.0,35.7782537170297,35.7782537170297,0.0
2022-01-01 02:00:00,0.0,0.0,0.0,0.0,4.854263883408,118.17349604903436,0.0,0.0,0.0,118.17349604903436,0.0,0.0,0.0,0.0,35.35940183946492,35.35940183946492,0.0
2022-01-01 03:00:00,0.0,0.0,0.0,0.0,4.854263883408,118.17057553341897,0.0,0.0,0.0,118.17057553341897,0.0,0.0,0.0,0.0,34.491177550182755,34.491177550182755,0.0
2022-01-01 04:00:00,0.0,0.0,0.0,0.0,4.854263883408,118.69218624428686,0.0,0.0,0.0,118.69218624428686,0.0,0.0,0.0,0.0,34.18260044816994,34.18260044816994,0.0
2022-01-01 05:00:00,0.0,0.0,0.0,0.0,4.854263883408,118.65347772283098,0.0,0.0,0.0,118.65347772283098,0.0,0.0,0.0,0.0,35.137576984457624,35.137576984457624,0.0
2022-01-01 06:00:00,0.0,0.0,0.0,0.0,4.854263883408,118.65353742050114,0.0,0.0,0.0,118.65353742050114,0.0,0.0,0.0,0.0,35.42117617778884,35.42117617778884,0.0
2022-01-01 07:00:00,0.0,0.0,0.0,0.0,13.442582375099155,103.58072772121919,0.0,0.0,0.0,103.58072772121919,0.0,0.0,0.0,0.0,33.52977828721538,33.52977828721538,0.0
2022-01-01 08:00:00,0.0,0.0,0.0,0.0,4.854263883408,100.69714302444312,0.0,0.0,0.0,100.69714302444312,0.0,0.0,0.0,0.0,31.99647821700036,31.99647821700036,0.0
2022-01-01 09:00:00,0.0,0.0,64.23785198848418,4.066863535999256,4.854263883408,173.7315159229805,0.0,0.0,0.0,173.7315159229805,0.0,0.0,0.0,0.0,53.87081115474092,53.87081115474092,0.0
2022-01-01 10:00:00,0.0,0.0,72.5935085379436,8.400347174517444,4.854263883408,186.53010582574035,0.0,0.0,0.0,186.53010582574035,0.0,0.0,0.0,0.0,58.73005514640561,58.73005514640561,0.0
2022-01-01 11:00:00,0.0,0.0,73.23584180402415,9.861480354202582,4.854263883408,189.211263609492,0.0,0.0,0.0,189.211263609492,0.0,0.0,0.0,0.0,60.17660646292271,60.17660646292271,0.0
2022-01-01 12:00:00,0.0,0.0,69.27851800153651,10.94358422825562,4.854263883408,185.23978271709962,0.0,0.0,0.0,185.23978271709962,0.0,0.0,0.0,0.0,59.569089774175914,59.569089774175914,0.0
2022-01-01 13:00:00,0.0,0.0,73.53424034402018,8.682286689250535,13.446825617466859,187.45445784300043,0.0,0.0,0.0,187.45445784300043,0.0,0.0,0.0,0.0,62.41215666446533,62.41215666446533,0.0
2022-01-01 14:00:00,0.0,0.0,68.23870025119686,10.661415379057471,4.854263883408,183.9168635083743,0.0,0.0,0.0,183.9168635083743,0.0,0.0,0.0,0.0,60.838266400706075,60.838266400706075,0.0
2022-01-01 15:00:00,0.0,0.0,69.3196048494783,9.292439641651965,4.854263883408,183.7824780354564,0.0,0.0,0.0,183.7824780354564,0.0,0.0,0.0,0.0,61.547959521061294,61.547959521061294,0.0
