,hs_el_kwh,hs_ng_kwh,cs_el_kwh,fan_el_kwh,fac_ng_kwh,fac_el_kwh,geff_irrad_kwh,cell_temp_degc,pv_yield_kwh,fac_el_net_kwh,pv_consumed_kwh,pv_excess_kwh,self_suff_pct,self_consume_pct,op_em_kgco2,op_em_pv_kgco2,mit_pot_kgco2
2022-01-01 00:00:00,0.0,104.55810986705382,0.0,3.2985560576858037,110.44589047348404,16.56186675617662,0.0,0.0,0.0,16.56186675617662,0.0,0.0,0.0,0.0,28.39929030450096,28.39929030450096,0.0
2022-01-01 01:00:00,0.0,56.665713420833164,0.0,2.174528720342409,59.68681583771316,12.47496671015514,0.0,0.0,0.0,12.47496671015514,0.0,0.0,0.0,0.0,17.32075624059395,17.32075624059395,0.0
2022-01-01 02:00:00,0.0,68.023497078313,0.0,2.4739170432643527,71.6166686367431,12.748593745023038,0.0,0.0,0.0,12.748593745023038,0.0,0.0,0.0,0.0,19.636322189893626,19.636322189893626,0.0
2022-01-01 03:00:00,0.0,46.16117273601749,0.0,1.6492780288429019,49.18227515289749,11.921842387891495,0.0,0.0,0.0,11.921842387891495,0.0,0.0,0.0,0.0,15.158069032862446,15.158069032862446,0.0
2022-01-01 04:00:00,0.0,70.75780293888543,0.0,2.4739170432643527,73.77890535576543,12.853727828050994,0.0,0.0,0.0,12.853727828050994,0.0,0.0,0.0,0.0,19.995882059578896,19.995882059578896,0.0
2022-01-01 05:00:00,0.0,101.10440050097661,0.0,3.2985560576858037,106.19814391724587,16.676239038990808,0.0,0.0,0.0,16.676239038990808,0.0,0.0,0.0,0.0,27.73546459101712,27.73546459101712,0.0
2022-01-01 06:00:00,0.0,91.96770921758647,0.0,3.2985560576858037,107.21088978868427,32.6704972451248,0.0,0.0,0.0,32.6704972451248,0.0,0.0,0.0,0.0,35.953557320197746,35.953557320197746,0.0
2022-01-01 07:00:00,0.0,87.11161675439625,0.0,3.2985560576858037,109.85755677138872,32.61893880888272,0.0,0.0,0.0,32.61893880888272,0.0,0.0,0.0,0.0,36.33808740331439,36.33808740331439,0.0
2022-01-01 08:00:00,0.0,89.44750425901144,0.0,3.2985560576858037,106.76432787564974,27.618785634285377,0.0,0.0,0.0,27.618785634285377,0.0,0.0,0.0,0.0,33.41045543929812,33.41045543929812,0.0
2022-01-01 09:00:00,0.0,90.40546000725011,0.0,3.2985560576858037,107.14933183932648,27.628620239581142,0.0,0.0,0.0,27.628620239581142,0.0,0.0,0.0,0.0,33.09678352952387,33.09678352952387,0.0
2022-01-01 10:00:00,0.0,88.60411541782379,0.0,3.2985560576858037,127.38538466649143,32.61892643778432,0.0,0.0,0.0,32.61892643778432,0.0,0.0,0.0,0.0,39.03013266055666,39.03013266055666,0.0
2022-01-01 11:00:00,0.0,85.5233778792629,0.0,3.2985560576858037,131.80661475088195,31.55007787680823,0.0,0.0,0.0,31.55007787680823,0.0,0.0,0.0,0.0,39.12969332650498,39.12969332650498,0.0
2022-01-01 12:00:00,0.0,83.8746325723167,0.0,3.2985560576858037,124.50025567223426,29.86822292878514,0.0,0.0,0.0,29.86822292878514,0.0,0.0,0.0,0.0,36.504416641262466,36.504416641262466,0.0
2022-01-01 13:00:00,0.0,83.4846472559098,0.0,3.2985560576858037,119.60849455393486,29.66660362677368,0.0,0.0,0.0,29.66660362677368,0.0,0.0,0.0,0.0,35.19154162467994,35.19154162467994,0.0
2022-01-01 14:00:00,0.0,84.63078052469335,0.0,3.2985560576858037,109.10017436927804,26.157744414503565,0.0,0.0,0.0,26.157744414503565,0.0,0.0,0.0,0.0,31.556291536564345,31.556291536564345,0.0
2022-01-01 15:00:00,0.0,84.43453056521864,0.0,3.2985560576858037,107.40363564333873,27.628742831937135,0.0,0.0,0.0,27.628742831937135,0.0,0.0,0.0,0.0,32.09688437121642,32.09688437121642,0.0
2022-01-01 16:00:00,0.0,83.38590239637374,0.0,3.2985560576858037,109.35637015878036,27.547548999187782,0.0,0.0,0.0,27.547548999187782,0.0,0.0,0.0,0.0,32.796232596139355,32.796232596139355,0.0
2022-01-01 17:00:00,0.0,80.41282954860802,0.0,3.2985560576858037,110.53539979848345,32.54793235008595,0.0,0.0,0.0,32.54793235008595,0.0,0.0,0.0,0.0,35.3846704478017,35.3846704478017,0.0
2022-01-01 18:00:00,0.0,78.07558704346364,0.0,3.2985560576858037,109.35337123724878,32.548182331978886,0.0,0.0,0.0,32.548182331978886,0.0,0.0,0.0,0.0,35.06195177345907,35.06195177345907,0.0
2022-01-01 19:00:00,0.0,77.7763600834788,0.0,3.2985560576858037,109.05336277758089,32.69111370206897,0.0,0.0,0.0,32.69111370206897,0.0,0.0,0.0,0.0,35.17090109347487,35.17090109347487,0.0
2022-01-01 20:00:00,0.0,80.95022456028124,0.0,3.2985560576858037,107.49634448432181,27.681569128107043,0.0,0.0,0.0,27.681569128107043,0.0,0.0,0.0,0.0,32.73686230395401,32.73686230395401,0.0
2022-01-01 21:00:00,0.0,82.11895789727068,0.0,3.2985560576858037,108.89576169118703,27.6199392142801,0.0,0.0,0.0,27.6199392142801,0.0,0.0,0.0,0.0,33.205127860728965,33.205127860728965,0.0
2022-01-01 22:00:00,0.0,83.55059496114214,0.0,3.2985560576858037,106.1720640762521,27.51700328814146,0.0,0.0,0.0,27.51700328814146,0.0,0.0,0.0,0.0,33.119314322760495,33.119314322760495,0.0
2022-01-01 23:00:00,0.0,85.9312079565852,0.0,3.2985560576858037,91.81838897096677,28.72151147296359,0.0,0.0,0.0,28.72151147296359,0.0,0.0,0.0,0.0,31.583447045088736,31.583447045088736,0.0
2022-01-02 00:00:00,0.0,105.92738133993858,0.0,3.2985560576858037,111.23982352229201,16.761796462496697,0.0,0.0,0.0,16.761796462496697,0.0,0.0,0.0,0.0,28.7742435956818,28.7742435956818,0.0
2022-01-02 01:00:00,0.0,57.27853221121233,0.0,2.174528720342409,60.29963462809232,12.473906897708577,0.0,0.0,0.0,12.473906897708577,0.0,0.0,0.0,0.0,17.484298551046727,17.484298551046727,0.0
2022-01-02 02:00:00,0.0,69.22188052353809,0.0,2.4739170432643527,72.81507114156376,12.747288702793316,0.0,0.0,0.0,12.747288702793316,0.0,0.0,0.0,0.0,19.844011497284637,19.844011497284637,0.0
2022-01-02 03:00:00,0.0,47.9123796474799,0.0,1.6492780288429019,50.93348206435989,11.919696238763152,0.0,0.0,0.0,11.919696238763152,0.0,0.0,0.0,0.0,15.389815247592498,15.389815247592498,0.0
2022-01-02 04:00:00,0.0,75.10169788500941,0.0,2.4739170432643527,78.6948899805957,12.847848486906592,0.0,0.0,0.0,12.847848486906592,0.0,0.0,0.0,0.0,20.78003644723823,20.78003644723823,0.0
2022-01-02 05:00:00,0.0,104.23443596245419,0.0,3.2985560576858037,108.75608957977418,16.676021712606406,0.0,0.0,0.0,16.676021712606406,0.0,0.0,0.0,0.0,27.876232166320392,27.876232166320392,0.0
