,hs_el_kwh,hs_ng_kwh,cs_el_kwh,fan_el_kwh,fac_ng_kwh,fac_el_kwh,geff_irrad_kwh,cell_temp_degc,pv_yield_kwh,fac_el_net_kwh,pv_consumed_kwh,pv_excess_kwh,self_suff_pct,self_consume_pct,op_em_kgco2,op_em_pv_kgco2,mit_pot_kgco2
2022-01-01 00:00:00,0.0,82.91014143892316,14.53378709216581,51.242545048243215,202.38607377894436,188.95347476308487,0.0,0.0,0.0,188.95347476308487,0.0,0.0,0.0,0.0,126.48547479354873,126.48547479354873,0.0
2022-01-01 01:00:00,0.0,74.67480984442086,12.386373870688642,51.242545048243215,171.8393708509829,186.70531753028305,0.0,0.0,0.0,186.70531753028305,0.0,0.0,0.0,0.0,113.58765926768694,113.58765926768694,0.0
2022-01-01 02:00:00,0.0,75.73577691275817,10.72576799169632,51.242545048243215,166.63465159511503,159.09908227558086,0.0,0.0,0.0,159.09908227558086,0.0,0.0,0.0,0.0,101.8820124070526,101.8820124070526,0.0
2022-01-01 03:00:00,0.0,80.06293170138953,9.746445331675208,51.242545048243215,177.2238768721918,158.10461310510794,0.0,0.0,0.0,158.10461310510794,0.0,0.0,0.0,0.0,103.8586892308797,103.8586892308797,0.0
2022-01-01 04:00:00,0.0,84.83598001792085,9.241606847674209,51.242545048243215,204.15323843746708,164.16961558880647,0.0,0.0,0.0,164.16961558880647,0.0,0.0,0.0,0.0,111.43452901473707,111.43452901473707,0.0
2022-01-01 05:00:00,0.0,90.50587814430699,8.905952530648857,51.24887703848475,252.11578021728965,176.07554776616237,0.0,0.0,0.0,176.07554776616237,0.0,0.0,0.0,0.0,125.81341594226762,125.81341594226762,0.0
2022-01-01 06:00:00,0.0,86.3801640903285,11.832413354348065,51.25584222775046,310.4402214743158,259.41296537560424,0.0,0.0,0.0,259.41296537560424,0.0,0.0,0.0,0.0,175.8396632354167,175.8396632354167,0.0
2022-01-01 07:00:00,0.0,172.92454283789976,24.017905058474334,52.963554558996535,552.1228197782025,307.1976983030831,0.0,0.0,0.0,307.1976983030831,0.0,0.0,0.0,0.0,241.2200798230935,241.2200798230935,0.0
2022-01-01 08:00:00,0.0,122.37261802870377,41.81053528073554,51.420916251862636,662.2521302824915,360.4239963544689,0.0,0.0,0.0,360.4239963544689,0.0,0.0,0.0,0.0,267.8127500837735,267.8127500837735,0.0
2022-01-01 09:00:00,0.0,67.53674768163599,45.908665831812996,54.090565506681315,497.70188030156373,307.3329690517786,0.0,0.0,0.0,307.3329690517786,0.0,0.0,0.0,0.0,204.88587968652587,204.88587968652587,0.0
