,hs_el_kwh,hs_ng_kwh,cs_el_kwh,fan_el_kwh,fac_ng_kwh,fac_el_kwh,geff_irrad_kwh,cell_temp_degc,pv_yield_kwh,fac_el_net_kwh,pv_consumed_kwh,pv_excess_kwh,self_suff_pct,self_consume_pct,op_em_kgco2,op_em_pv_kgco2,mit_pot_kgco2
2022-01-01 00:00:00,0.0,1030.2724365241377,0.0,28.094067326159067,1032.5179969619219,290.6666969744026,0.0,0.0,0.0,290.6666969744026,0.0,0.0,0.0,0.0,261.0702474392634,261.0702474392634,0.0
2022-01-01 01:00:00,0.0,927.1655625714993,0.0,23.41172277179922,929.4111028517932,286.1063056945652,0.0,0.0,0.0,286.1063056945652,0.0,0.0,0.0,0.0,245.39494574049226,245.39494574049226,0.0
2022-01-01 02:00:00,0.0,1245.3942406018205,0.0,29.264653464749028,1247.639787352936,292.8405311445051,0.0,0.0,0.0,292.8405311445051,0.0,0.0,0.0,0.0,306.7710441505344,306.7710441505344,0.0
2022-01-01 03:00:00,0.0,940.9387015550668,0.0,23.41172277179922,943.1841808835616,286.1512574056743,0.0,0.0,0.0,286.1512574056743,0.0,0.0,0.0,0.0,249.85863980835478,249.85863980835478,0.0
2022-01-01 04:00:00,0.0,1239.9679242953466,0.0,29.264653464749028,1242.2134829992924,305.049959341636,0.0,0.0,0.0,305.049959341636,0.0,0.0,0.0,0.0,308.0866787818334,308.0866787818334,0.0
2022-01-01 05:00:00,0.0,911.4507747217685,0.0,23.41172277179922,915.9284909788792,322.73032982952014,0.0,0.0,0.0,322.73032982952014,0.0,0.0,0.0,0.0,248.30359402599635,248.30359402599635,0.0
2022-01-01 06:00:00,0.0,1280.3701994174608,0.0,29.264653464749028,1282.6157715066677,378.48037006040835,0.0,0.0,0.0,378.48037006040835,0.0,0.0,0.0,0.0,323.98868459447937,323.98868459447937,0.0
2022-01-01 07:00:00,0.0,990.7983738716034,0.0,23.41172277179922,993.043878744381,396.3071729339441,0.0,0.0,0.0,396.3071729339441,0.0,0.0,0.0,0.0,272.4631803903105,272.4631803903105,0.0
2022-01-01 08:00:00,0.0,1233.3886052717141,0.0,29.264653464749028,1235.634189240785,351.5068119017431,0.0,0.0,0.0,351.5068119017431,0.0,0.0,0.0,0.0,313.39719943513734,313.39719943513734,0.0
2022-01-01 09:00:00,0.0,752.6524990899691,0.0,23.41172277179922,754.8979515606055,297.37500955422803,0.0,0.0,0.0,297.37500955422803,0.0,0.0,0.0,0.0,218.79513020643907,218.79513020643907,0.0
2022-01-01 10:00:00,0.0,873.577309268516,0.0,29.264653464749028,875.8222709537807,254.5576853176442,0.0,0.0,0.0,254.5576853176442,0.0,0.0,0.0,0.0,219.43385636257017,219.43385636257017,0.0
2022-01-01 11:00:00,0.0,598.532370529213,0.0,23.41172277179922,603.0078528672707,248.12144120234058,0.0,0.0,0.0,248.12144120234058,0.0,0.0,0.0,0.0,169.84540352884142,169.84540352884142,0.0
2022-01-01 12:00:00,0.0,752.395835632051,0.0,29.264653464749028,754.6435760991724,254.2479235253032,0.0,0.0,0.0,254.2479235253032,0.0,0.0,0.0,0.0,197.1311118411682,197.1311118411682,0.0
2022-01-01 13:00:00,0.0,489.49480194848474,0.0,23.41172277179922,493.97589546266397,247.84097121815188,0.0,0.0,0.0,247.84097121815188,0.0,0.0,0.0,0.0,146.3231846074898,146.3231846074898,0.0
2022-01-01 14:00:00,0.0,627.1780785925998,0.0,29.264653464749028,631.6535849118046,253.89016040608394,0.0,0.0,0.0,253.89016040608394,0.0,0.0,0.0,0.0,171.2711554956312,171.2711554956312,0.0
2022-01-01 15:00:00,0.0,476.0020254258262,0.0,23.41172277179922,478.24760301776206,247.68947745207134,0.0,0.0,0.0,247.68947745207134,0.0,0.0,0.0,0.0,145.45631621821326,145.45631621821326,0.0
2022-01-01 16:00:00,0.0,714.1508746212796,0.0,29.264653464749028,716.396265311257,323.3265804535186,0.0,0.0,0.0,323.3265804535186,0.0,0.0,0.0,0.0,215.06506312165155,215.06506312165155,0.0
2022-01-01 17:00:00,0.0,614.2478026016973,0.0,23.41172277179922,616.4933371292204,395.06434581136426,0.0,0.0,0.0,395.06434581136426,0.0,0.0,0.0,0.0,210.8405421232896,210.8405421232896,0.0
2022-01-01 18:00:00,0.0,859.2448346314902,0.0,29.264653464749028,861.4901731922416,401.3991871348138,0.0,0.0,0.0,401.3991871348138,0.0,0.0,0.0,0.0,261.2797404413093,261.2797404413093,0.0
2022-01-01 19:00:00,0.0,598.8157042445365,0.0,23.41172277179922,601.0612504629053,370.6123405536031,0.0,0.0,0.0,370.6123405536031,0.0,0.0,0.0,0.0,203.79113131345594,203.79113131345594,0.0
2022-01-01 20:00:00,0.0,866.2990483720735,0.0,29.264653464749028,868.5446004452151,376.9264561069103,0.0,0.0,0.0,376.9264561069103,0.0,0.0,0.0,0.0,255.0724689908078,255.0724689908078,0.0
2022-01-01 21:00:00,0.0,687.2573060876331,0.0,23.41172277179922,691.7345351421984,346.36065263562,0.0,0.0,0.0,346.36065263562,0.0,0.0,0.0,0.0,213.81288871117385,213.81288871117385,0.0
2022-01-01 22:00:00,0.0,956.8404760200177,0.0,29.264653464749028,959.0858397595915,328.3253474515902,0.0,0.0,0.0,328.3253474515902,0.0,0.0,0.0,0.0,253.1070964797275,253.1070964797275,0.0
2022-01-01 23:00:00,0.0,694.5195561278335,0.0,23.41172277179922,696.765127035369,297.52140299504265,0.0,0.0,0.0,297.52140299504265,0.0,0.0,0.0,0.0,207.87074111494417,207.87074111494417,0.0
2022-01-02 00:00:00,0.0,887.0280280832949,0.0,29.264653464749028,891.5012759267461,341.35708857617607,0.0,0.0,0.0,341.35708857617607,0.0,0.0,0.0,0.0,255.33051883842933,255.33051883842933,0.0
2022-01-02 01:00:00,0.0,640.2985279118578,0.0,23.41172277179922,642.5448966251952,335.02464315537685,0.0,0.0,0.0,335.02464315537685,0.0,0.0,0.0,0.0,214.07381143446622,214.07381143446622,0.0
2022-01-02 02:00:00,0.0,829.557308318236,0.0,29.264653464749028,831.8038492459181,341.2140003585529,0.0,0.0,0.0,341.2140003585529,0.0,0.0,0.0,0.0,247.18493069233946,247.18493069233946,0.0
2022-01-02 03:00:00,0.0,583.7543369087849,0.0,23.41172277179922,588.2273223747669,334.8808669323302,0.0,0.0,0.0,334.8808669323302,0.0,0.0,0.0,0.0,201.93096396340172,201.93096396340172,0.0
2022-01-02 04:00:00,0.0,867.9674383947881,0.0,29.264653464749028,870.2141176306485,353.4649200782254,0.0,0.0,0.0,353.4649200782254,0.0,0.0,0.0,0.0,256.0237280369317,256.0237280369317,0.0
2022-01-02 05:00:00,0.0,669.5589205236192,0.0,23.41172277179922,674.0384671337828,409.1470408127174,0.0,0.0,0.0,409.1470408127174,0.0,0.0,0.0,0.0,232.00040217889034,232.00040217889034,0.0
2022-01-02 06:00:00,0.0,2636.4677648677944,0.0,36.56832108936293,2640.9454774161977,478.3624065374711,0.0,0.0,0.0,478.3624065374711,0.0,0.0,0.0,0.0,586.815867055675,586.815867055675,0.0
