,hs_el_kwh,hs_ng_kwh,cs_el_kwh,fan_el_kwh,fac_ng_kwh,fac_el_kwh,geff_irrad_kwh,cell_temp_degc,pv_yield_kwh,fac_el_net_kwh,pv_consumed_kwh,pv_excess_kwh,self_suff_pct,self_consume_pct,op_em_kgco2,op_em_pv_kgco2,mit_pot_kgco2
2022-01-01 00:00:00,0.0,59.57023787688289,52.168215656892826,27.916739074607467,62.561970688084834,116.09909981902375,0.0,0.0,0.0,116.09909981902375,0.0,0.0,0.0,0.0,46.35642264159787,46.35642264159787,0.0
2022-01-01 01:00:00,0.0,47.65619030150631,39.49599545781997,22.333391259685982,50.647923112708234,97.81186890212155,0.0,0.0,0.0,97.81186890212155,0.0,0.0,0.0,0.0,38.00693689210861,38.00693689210861,0.0
2022-01-01 02:00:00,0.0,59.570237876882885,48.78163869675924,27.916739074607477,62.561970688084834,112.71252257482332,0.0,0.0,0.0,112.71252257482332,0.0,0.0,0.0,0.0,44.15607706808469,44.15607706808469,0.0
2022-01-01 03:00:00,0.0,47.65619030150631,39.14178882145745,22.333391259685982,50.647923112708234,97.45766210715315,0.0,0.0,0.0,97.45766210715315,0.0,0.0,0.0,0.0,36.84393524679897,36.84393524679897,0.0
2022-01-01 04:00:00,0.0,59.570237876882885,49.28913587796522,27.916739074607477,62.561970688084834,113.22001968710907,0.0,0.0,0.0,113.22001968710907,0.0,0.0,0.0,0.0,43.03724285509317,43.03724285509317,0.0
2022-01-01 05:00:00,0.05286535061346981,47.65619030150631,42.21021697325692,22.674888496590263,50.647923112708234,100.92045284221892,0.0,0.0,0.0,100.92045284221892,0.0,0.0,0.0,0.0,38.26197869780359,38.26197869780359,0.0
2022-01-01 06:00:00,0.6006476401436166,59.570237876882885,56.39642699839689,29.055063197621745,62.56197068808481,122.06628261335297,0.0,0.0,0.0,122.06628261335297,0.0,0.0,0.0,0.0,46.8051275760036,46.8051275760036,0.0
2022-01-01 07:00:00,0.0,47.65619030150631,40.40652001217246,22.333391259685982,50.647923112708234,84.59654873650011,0.0,0.0,0.0,84.59654873650011,0.0,0.0,0.0,0.0,34.52690697807648,34.52690697807648,0.0
2022-01-01 08:00:00,0.5293999168488768,59.570237876882885,74.99866873832374,30.766690508152546,64.5431258848861,154.02112100948705,0.0,0.0,0.0,154.02112100948705,0.0,0.0,0.0,0.0,59.224324414313955,59.224324414313955,0.0
2022-01-01 09:00:00,0.4221106039574802,47.65619030150631,66.93720286203586,24.698686851734188,52.629078309509524,139.75269950372763,0.0,0.0,0.0,139.75269950372763,0.0,0.0,0.0,0.0,52.10744832778019,52.10744832778019,0.0
2022-01-01 10:00:00,0.5206859563300641,59.570237876882885,92.46533071128538,31.153327332447763,64.5431258848861,171.86570598011673,0.0,0.0,0.0,171.86570598011673,0.0,0.0,0.0,0.0,64.9286025677646,64.9286025677646,0.0
2022-01-01 11:00:00,0.43181796493651803,47.65619030150631,74.11418191437703,24.86361718171322,52.629078309509545,147.1043163909312,0.0,0.0,0.0,147.1043163909312,0.0,0.0,0.0,0.0,55.58132218741375,55.58132218741375,0.0
2022-01-01 12:00:00,0.5288097983437209,59.570237876882885,94.5031055385583,31.15305020425618,64.5431258848861,173.9113276725402,0.0,0.0,0.0,173.9113276725402,0.0,0.0,0.0,0.0,66.72655983023289,66.72655983023289,0.0
2022-01-01 13:00:00,0.4367525051210304,47.65619030150631,76.33053401434783,24.99085292942367,52.629078309509545,149.45283893566085,0.0,0.0,0.0,149.45283893566085,0.0,0.0,0.0,0.0,57.30527938874763,57.30527938874763,0.0
2022-01-01 14:00:00,0.5341427473909761,59.570237876882885,94.71196818538762,31.11033542123676,64.5431258848861,174.08280864641523,0.0,0.0,0.0,174.08280864641523,0.0,0.0,0.0,0.0,68.378975474989,68.378975474989,0.0
2022-01-01 15:00:00,0.44030577646891045,47.65619030150631,74.59996934246658,24.76987947688866,52.629078309509545,147.50485424675662,0.0,0.0,0.0,147.50485424675662,0.0,0.0,0.0,0.0,58.17313992519232,58.17313992519232,0.0
2022-01-01 16:00:00,0.537699166080829,59.570237876882885,90.76909759936926,30.88294417964326,64.5431258848861,153.05839761019854,0.0,0.0,0.0,153.05839761019854,0.0,0.0,0.0,0.0,62.477730317852455,62.477730317852455,0.0
2022-01-01 17:00:00,0.4996345488285106,47.65619030150631,68.31435284030908,24.621850164084456,50.647923112708234,120.94281362512864,0.0,0.0,0.0,120.94281362512864,0.0,0.0,0.0,0.0,49.590273253932835,49.590273253932835,0.0
2022-01-01 18:00:00,0.6433941713954966,59.570237876882885,81.83927259006406,30.76473382353864,62.561970688084834,149.2615462467919,0.0,0.0,0.0,149.2615462467919,0.0,0.0,0.0,0.0,61.28036026213725,61.28036026213725,0.0
2022-01-01 19:00:00,0.5413282644763252,47.65619030150631,63.117857389218045,24.610039505714518,50.647923112708234,124.25170818276172,0.0,0.0,0.0,124.25170818276172,0.0,0.0,0.0,0.0,49.83770681912888,49.83770681912888,0.0
2022-01-01 20:00:00,0.3967262538159116,59.570237876882885,71.91090367299472,29.624225259128877,62.56197068808481,137.94600101970974,0.0,0.0,0.0,137.94600101970974,0.0,0.0,0.0,0.0,55.132516514577645,55.132516514577645,0.0
2022-01-01 21:00:00,0.26012061459728353,47.65619030150631,57.594301430290784,23.47171538270025,50.647923112708234,117.30862062370309,0.0,0.0,0.0,117.30862062370309,0.0,0.0,0.0,0.0,45.559929441103165,45.559929441103165,0.0
2022-01-01 22:00:00,0.1325925902104564,59.570237876882885,65.40679452555588,28.48590113611461,62.56197068808481,130.03943425911672,0.0,0.0,0.0,130.03943425911672,0.0,0.0,0.0,0.0,51.1838142591634,51.1838142591634,0.0
2022-01-01 23:00:00,0.0,47.65619030150631,46.25778160076512,22.333391259685982,50.647923112708234,104.57365623064611,0.0,0.0,0.0,104.57365623064611,0.0,0.0,0.0,0.0,40.339644598215436,40.339644598215436,0.0
2022-01-02 00:00:00,0.0,59.570237876882885,54.29756659804643,27.916739074607477,62.561970688084834,121.14432434492093,0.0,0.0,0.0,121.14432434492093,0.0,0.0,0.0,0.0,46.28228712544259,46.28228712544259,0.0
2022-01-02 01:00:00,0.0,47.65619030150631,42.48455318141312,22.333391259685982,50.647923112708234,103.71630047679312,0.0,0.0,0.0,103.71630047679312,0.0,0.0,0.0,0.0,37.84029745858959,37.84029745858959,0.0
2022-01-02 02:00:00,0.0,59.570237876882885,51.25937358545586,27.916739074607477,62.561970688084834,118.10613150786308,0.0,0.0,0.0,118.10613150786308,0.0,0.0,0.0,0.0,44.44858850006405,44.44858850006405,0.0
2022-01-02 03:00:00,0.0,47.65619030150631,40.04242776708378,22.333391259685982,50.647923112708234,101.27417523845712,0.0,0.0,0.0,101.27417523845712,0.0,0.0,0.0,0.0,37.34530491126642,37.34530491126642,0.0
2022-01-02 04:00:00,0.2730249937234933,71.48428545225946,74.11427895407809,35.852623410425124,76.4571734602627,169.8175915530244,0.0,0.0,0.0,169.8175915530244,0.0,0.0,0.0,0.0,61.33714766540423,61.33714766540423,0.0
2022-01-02 05:00:00,22.79300008442874,69.06688481589295,77.22447953513276,35.83791412501318,82.84149181783168,195.4330580116355,0.0,0.0,0.0,195.4330580116355,0.0,0.0,0.0,0.0,71.35671206154421,71.35671206154421,0.0
2022-01-02 06:00:00,18.895918938802627,71.48428545225946,90.56786698543668,37.02444541977934,81.41006145226592,269.33935438116674,0.0,0.0,0.0,269.33935438116674,0.0,0.0,0.0,0.0,97.6656109044174,97.6656109044174,0.0
2022-01-02 07:00:00,9.85784079619822,71.48428545225946,95.01953810919085,37.1063147878583,81.41006145226592,289.8790848061511,0.0,0.0,0.0,289.8790848061511,0.0,0.0,0.0,0.0,105.01322601176291,105.01322601176291,0.0
