,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
14,3.3,86.93512623930812,97780.51861818794,1.3,96,2004-01-01 14:00:00-06:00,1,14,0.2532981530343008,0.19160885365047903,Sunset,14,0.14256198347107438,96.0,0.0,10,10,4.185019286373651
15,3.3,99.51784187920798,97680.51861818794,3.2,55,2004-01-01 15:00:00-06:00,1,15,0.24663677130044842,0.19160885365047903,Neither,15,0.1607399856080595,55.0,0.0,10,10,4.695387492028973
16,3.3,99.51784187920798,97680.51861818794,3.2,3,2004-01-01 16:00:00-06:00,1,16,0.06818181818181818,0.19160885365047903,Neither,16,0.12331838565022421,3.0,0.0,10,10,3.1642828750630043
17,3.3,99.51784187920798,97780.51861818794,3.2,0,2004-01-01 17:00:00-06:00,1,17,0.0,0.19160885365047903,Neither,17,0.03409090909090909,0.0,0.0,10,10,2.653914669407681
18,3.3,99.51784187920798,97780.51861818794,3.2,0,2004-01-01 18:00:00-06:00,1,18,0.0,0.19160885365047903,Neither,18,0.0,0.0,0.0,10,10,0.0
19,2.7,99.51784187920798,97780.51861818794,2.6,0,2004-01-01 19:00:00-06:00,1,19,0.0,0.19160885365047903,Neither,19,0.0,0.0,0.0,3,3,2.1435464637523576
20,1.5,100.0,97780.51861818794,1.5,0,2004-01-01 20:00:00-06:00,1,20,0.0,0.19160885365047903,Neither,20,0.0,0.0,0.0,0,0,1.53110461696597
21,0.9,100.0,97880.51861818794,0.9,0,2004-01-01 21:00:00-06:00,1,21,0.0,0.19160885365047903,Neither,21,0.0,0.0,0.0,0,0,0.0
22,0.4,100.0,97880.51861818794,0.4,0,2004-01-01 22:00:00-06:00,1,22,0.0,0.19160885365047903,Neither,22,0.0,0.0,0.0,0,0,2.1435464637523576
23,-1.4,100.0,97880.51861818794,-1.4,0,2004-01-01 23:00:00-06:00,1,23,0.0,0.19160885365047903,Neither,23,0.0,0.0,0.0,5,5,0.0
24,-1.9,100.0,97780.51861818794,-1.9,0,2004-01-02 00:00:00-06:00,2,0,0.0,0.35787052251068024,Neither,24,0.0,0.0,0.0,5,5,1.53110461696597
25,-1.9,100.0,97880.51861818794,-1.9,0,2004-01-02 01:00:00-06:00,2,1,0.0,0.35787052251068024,Neither,25,0.0,0.0,0.0,3,3,1.53110461696597
26,-3.2,100.0,97780.51861818794,-3.2,0,2004-01-02 02:00:00-06:00,2,2,0.0,0.35787052251068024,Neither,26,0.0,0.0,0.0,2,2,0.0
27,-3.7,100.0,97780.51861818794,-3.7,0,2004-01-02 03:00:00-06:00,2,3,0.0,0.35787052251068024,Neither,27,0.0,0.0,0.0,5,4,2.1435464637523576
28,-2.5,100.0,97680.51861818794,-2.5,0,2004-01-02 04:00:00-06:00,2,4,0.0,0.35787052251068024,Neither,28,0.0,0.0,0.0,8,5,3.6746510807183275
29,-1.4,100.0,97680.51861818794,-1.4,0,2004-01-02 05:00:00-06:00,2,5,0.0,0.35787052251068024,Sunrise,29,0.0,0.0,0.0,8,6,4.185019286373651
30,-1.4,100.0,97580.51861818794,-1.4,0,2004-01-02 06:00:00-06:00,2,6,0.0,0.35787052251068024,Neither,30,0.0,0.0,0.0,9,6,3.6746510807183275
31,-0.8,100.0,97580.51861818794,-0.8,0,2004-01-02 07:00:00-06:00,2,7,0.0,0.35787052251068024,Neither,31,0.0,0.0,0.0,8,4,3.6746510807183275
32,0.4,100.0,97480.51861818794,0.4,0,2004-01-02 08:00:00-06:00,2,8,0.0,0.35787052251068024,Neither,32,0.30333333333333334,0.0,0.0,10,8,6.328565750126009
33,0.9,100.0,97480.51861818794,0.9,182,2004-01-02 09:00:00-06:00,2,9,0.6066666666666667,0.35787052251068024,Neither,33,0.27586206896551724,152.60898279802453,340.5638027346464,9,8,7.8596703670919785
34,1.5,100.0,97380.51861818794,1.5,240,2004-01-02 10:00:00-06:00,2,10,0.5517241379310345,0.35787052251068024,Neither,34,0.4803761348897536,84.44200653449346,728.1244963000677,9,7,5.818197544470685
35,2.7,99.51784187920798,97180.51861818794,2.6,182,2004-01-02 11:00:00-06:00,2,11,0.3540856031128405,0.35787052251068024,Neither,35,0.5253912591726735,125.52566388171036,182.7606045994621,8,6,5.818197544470685
