,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
10,0.4,44.49514747664805,83827.91591527677,-10.3,388,1987-01-01 10:00:00,1,10,0.7003610108303249,0.5987509758001561,Neither,10,0.6411613152922071,9.93533869445954,69.45797520701038,20.542024792989622,99,740.4897835179357,0,0,1.4414142798160312
11,3.2,37.64974017254835,83627.91591527677,-9.9,431,1987-01-01 11:00:00,1,11,0.6884984025559105,0.5987509758001561,Neither,11,0.7075497605657171,10.93533869445954,64.8765785031338,25.1234214968662,111,800.8444601463204,0,0,1.4414142798160312
12,4.8,35.36793773784845,83527.91591527677,-9.2,451,1987-01-01 12:00:00,1,12,0.7147385103011094,0.5987509758001561,Neither,12,0.6192931380090625,11.93533869445954,63.115495639061336,26.884504360938664,112,745.1279101560277,0,0,1.4414142798160312
13,5.4,35.36793773784845,83427.91591527677,-8.7,313,1987-01-01 13:00:00,1,13,0.5500878734622144,0.5987509758001561,Neither,13,0.6023130753752738,12.93533869445954,64.41278419939628,25.587215800603715,156,300.3631007940204,7,4,1.4414142798160312
14,5.4,35.36793773784845,83427.91591527677,-8.7,218,1987-01-01 14:00:00,1,14,0.4898876404494382,0.5987509758001561,Neither,14,0.43857777131757336,13.93533869445954,68.5908197371562,21.409180262843805,139,149.5649328262428,9,5,2.9789228449531313
15,4.3,38.7906413898983,83327.91591527677,-8.5,87,1987-01-01 15:00:00,1,15,0.32706766917293234,0.5987509758001561,Sunset,15,0.4898876404494382,14.93533869445954,75.15695339631762,14.843046603682382,71,0.0,9,7,2.0179799917424437
16,2.6,45.636048693998,83327.91591527677,-7.9,28,1987-01-01 16:00:00,1,16,0.4745762711864407,0.5987509758001561,Neither,16,0.16353383458646617,15.93533869445954,83.5268422409875,6.473157759012494,20,0.0,10,4,1.4414142798160312
17,-0.2,63.8904681715972,83227.91591527677,-6.2,0,1987-01-01 17:00:00,1,17,0.0,0.5987509758001561,Neither,17,0.23728813559322035,16.93533869445954,93.18192996907935,-3.1819299690793486,0,,9,4,1.4414142798160312
18,-0.7,62.74956695424725,83227.91591527677,-6.9,0,1987-01-01 18:00:00,1,18,0.0,0.5987509758001561,Neither,18,0.0,17.93533869445954,103.7154757781008,-13.715475778100796,0,,8,4,0.0
19,-1.8,71.87677669304685,83027.91591527677,-6.2,0,1987-01-01 19:00:00,1,19,0.0,0.5987509758001561,Neither,19,0.0,18.93533869445954,114.8140317629546,-24.8140317629546,0,,8,4,1.4414142798160312
20,-1.3,71.87677669304685,82927.91591527677,-5.7,0,1987-01-01 20:00:00,1,20,0.0,0.5987509758001561,Neither,20,0.0,19.93533869445954,126.21319819070507,-36.21319819070507,0,,8,5,0.0
21,-1.3,75.2994803450967,82827.91591527677,-5.1,0,1987-01-01 21:00:00,1,21,0.0,0.5987509758001561,Neither,21,0.0,20.93533869445954,137.62891521331403,-47.62891521331403,0,,10,8,1.4414142798160312
22,-0.7,82.14488764919639,82827.91591527677,-3.4,0,1987-01-01 22:00:00,1,22,0.0,0.5987509758001561,Neither,22,0.0,21.93533869445954,148.60582208738504,-58.605822087385036,0,,10,8,1.4414142798160312
23,-0.7,75.2994803450967,82727.91591527677,-4.5,0,1987-01-01 23:00:00,1,23,0.0,0.5987509758001561,Neither,23,0.0,22.93533869445954,158.03212088528545,-68.03212088528545,0,,10,9,2.0179799917424437
24,-1.3,82.14488764919639,82727.91591527677,-3.9,0,1987-01-02 00:00:00,2,0,0.0,0.3362694300518135,Neither,24,0.0,-0.0721092112867196,162.7724322946088,-72.77243229460879,0,,10,9,2.0179799917424437
25,-0.7,68.454073040997,82627.91591527677,-5.8,0,1987-01-02 01:00:00,2,1,0.0,0.3362694300518135,Neither,25,0.0,0.9278907887132803,159.2178573369302,-69.2178573369302,0,,10,9,1.4414142798160312
26,-1.3,75.2994803450967,82527.91591527677,-5.1,0,1987-01-02 02:00:00,2,2,0.0,0.3362694300518135,Neither,26,0.0,1.9278907887132803,150.24609131585788,-60.24609131585788,0,,10,10,1.4414142798160312
27,-0.2,69.59497425834695,82427.91591527677,-5.1,0,1987-01-02 03:00:00,2,3,0.0,0.3362694300518135,Neither,27,0.0,2.9278907887132806,139.40811962039842,-49.40811962039842,0,,10,10,2.4984514183477877
28,-0.2,71.87677669304685,82427.91591527677,-4.7,0,1987-01-02 04:00:00,2,4,0.0,0.3362694300518135,Neither,28,0.0,3.9278907887132806,128.01996360813368,-38.01996360813368,0,,9,8,2.0179799917424437
29,-1.3,78.72218399714654,82527.91591527677,-4.5,0,1987-01-02 05:00:00,2,5,0.0,0.3362694300518135,Neither,29,0.0,4.92789078871328,116.59269179878464,-26.592691798784642,0,,10,9,1.4414142798160312
30,-0.2,75.2994803450967,82527.91591527677,-4.0,0,1987-01-02 06:00:00,2,6,0.0,0.3362694300518135,Sunrise,30,0.2972972972972973,5.92789078871328,105.42325365786604,-15.423253657866042,0,,10,9,4.9969028366955754
31,-1.8,85.56759130124625,82527.91591527677,-3.9,11,1987-01-02 07:00:00,2,7,0.2972972972972973,0.3362694300518135,Neither,31,0.14893617021276595,6.92789078871328,94.77333051364418,-4.773330513644183,10,,10,9,2.0179799917424437
32,0.4,75.2994803450967,82627.91591527677,-3.5,70,1987-01-02 08:00:00,2,8,0.2978723404255319,0.3362694300518135,Neither,32,0.3089811902163446,7.92789078871328,84.94497932266272,5.055020677337282,64,284.8218844542962,10,9,1.4414142798160312
33,3.7,50.1996535633978,82627.91591527677,-5.7,135,1987-01-02 09:00:00,2,9,0.32066508313539194,0.3362694300518135,Neither,33,0.26875599003258577,8.927890788713281,76.32792775175731,13.672072248242685,123,167.47716195351626,10,10,2.4984514183477877
34,5.9,54.7632584327976,82727.91591527677,-2.5,133,1987-01-02 10:00:00,2,10,0.23963963963963963,0.3362694300518135,Neither,34,0.4525299937969953,9.927890788713281,69.42421008074581,20.57578991925419,124,10.894923794575627,10,10,2.0179799917424437
35,5.9,57.0450608674975,82727.91591527677,-1.9,367,1987-01-02 11:00:00,2,11,0.5843949044585988,0.3362694300518135,Neither,35,0.27226847700781354,10.927890788713281,64.81648674763485,25.183513252365145,242,379.40191061841944,10,7,2.0179799917424437
36,6.5,58.185962084847446,82827.91591527677,-1.1,193,1987-01-02 12:00:00,2,12,0.3048973143759874,0.3362694300518135,Neither,36,0.42156808159992876,11.927890788713281,63.02910955720725,26.97089044279275,175,29.347840740992382,10,10,2.4984514183477877
37,6.5,60.46776451954735,82827.91591527677,-0.6,148,1987-01-02 13:00:00,2,13,0.25874125874125875,0.3362694300518135,Neither,37,0.30423437147370797,12.927890788713281,64.3041307777132,25.695869222286802,139,0.7428676928638344,10,10,2.4984514183477877
38,7.0,58.185962084847446,83027.91591527677,-0.6,136,1987-01-02 14:00:00,2,14,0.30357142857142855,0.3362694300518135,Neither,38,0.2780695141289937,13.927890788713281,68.46641819352443,21.533581806475567,125,4.168223212548641,10,10,2.9789228449531313
39,7.0,62.74956695424725,83127.91591527677,0.4,80,1987-01-02 15:00:00,2,15,0.29739776951672864,0.3362694300518135,Sunset,39,0.30357142857142855,14.927890788713281,75.02319503600259,14.97680496399741,73,0.0,10,10,5.477374263300919
40,6.5,65.03136938894716,83327.91591527677,0.4,25,1987-01-02 16:00:00,2,16,0.4032258064516129,0.3362694300518135,Neither,40,0.14869888475836432,15.927890788713281,83.38843994874779,6.611560051252212,21,0.0,10,10,4.9969028366955754
41,4.8,79.8630852144965,83527.91591527677,1.6,0,1987-01-02 17:00:00,2,17,0.0,0.3362694300518135,Neither,41,0.20161290322580644,16.92789078871328,93.0417690903927,-3.0417690903927053,0,,10,10,7.399259969722294
42,3.2,90.13119617064605,83627.91591527677,1.7,0,1987-01-02 18:00:00,2,18,0.0,0.3362694300518135,Neither,42,0.0,17.92789078871328,103.57505185324041,-13.57505185324041,0,,10,7,4.9969028366955754
43,3.7,76.44038156244665,83827.91591527677,-0.1,0,1987-01-02 19:00:00,2,19,0.0,0.3362694300518135,Neither,43,0.0,18.92789078871328,114.6738908567466,-24.673890856746596,0,,10,10,3.9398656981638185
44,2.6,78.72218399714654,83827.91591527677,-0.7,0,1987-01-02 20:00:00,2,20,0.0,0.3362694300518135,Neither,44,0.0,19.92789078871328,126.07321745559454,-36.073217455594545,0,,10,10,2.0179799917424437
45,2.6,76.44038156244665,83827.91591527677,-1.1,0,1987-01-02 21:00:00,2,21,0.0,0.3362694300518135,Neither,45,0.0,20.92789078871328,137.4885073605476,-47.4885073605476,0,,6,2,0.0
46,0.9,85.56759130124625,83927.91591527677,-1.2,0,1987-01-02 22:00:00,2,22,0.0,0.3362694300518135,Neither,46,0.0,21.92789078871328,148.46466953172728,-58.46466953172728,0,,1,1,0.0
47,-0.2,96.97660347474574,83927.91591527677,-0.6,0,1987-01-02 23:00:00,2,23,0.0,0.3362694300518135,Neither,47,0.0,22.92789078871328,157.89544587262785,-67.89544587262785,0,,1,1,2.4984514183477877
48,-0.7,96.97660347474574,84027.91591527677,-1.1,0,1987-01-03 00:00:00,3,0,0.0,0.5585353274883961,Neither,48,0.0,-0.07948611582199686,162.6744204045536,-72.67442040455359,0,,0,0,2.9789228449531313
49,-2.4,100.0,84027.91591527677,-2.4,0,1987-01-03 01:00:00,3,1,0.0,0.5585353274883961,Neither,49,0.0,0.9205138841780032,159.19335370294914,-69.19335370294914,0,,0,0,2.4984514183477877
50,-2.4,100.0,84027.91591527677,-2.4,0,1987-01-03 02:00:00,3,2,0.0,0.5585353274883961,Neither,50,0.0,1.9205138841780032,150.26328968164216,-60.26328968164216,0,,0,0,2.0179799917424437
51,-3.0,96.97660347474574,83927.91591527677,-3.4,0,1987-01-03 03:00:00,3,3,0.0,0.5585353274883961,Neither,51,0.0,2.920513884178003,139.44100829985072,-49.44100829985072,0,,0,0,2.0179799917424437
52,-4.2,92.41299860534595,83927.91591527677,-5.2,0,1987-01-03 04:00:00,3,4,0.0,0.5585353274883961,Neither,52,0.0,3.920513884178003,128.05676412282457,-38.056764122824575,0,,0,0,2.0179799917424437
53,-4.7,87.84939373594615,83927.91591527677,-6.4,0,1987-01-03 05:00:00,3,5,0.0,0.5585353274883961,Neither,53,0.0,4.920513884178003,116.62711203768283,-26.627112037682835,0,,0,0,2.4984514183477877
54,-3.5,74.15857912774675,83927.91591527677,-7.4,0,1987-01-03 06:00:00,3,6,0.0,0.5585353274883961,Sunrise,54,0.6216216216216216,5.920513884178003,105.45087867168752,-15.45087867168752,0,,1,0,2.0179799917424437
55,-2.4,68.454073040997,83927.91591527677,-7.4,23,1987-01-03 07:00:00,3,7,0.6216216216216216,0.5585353274883961,Neither,55,0.21914893617021278,6.920513884178003,94.79020825712183,-4.790208257121833,11,,7,0,3.9398656981638185
56,0.4,55.90415965014755,83927.91591527677,-7.4,103,1987-01-03 08:00:00,3,8,0.43829787234042555,0.5585353274883961,Neither,56,0.5975406686307161,7.920513884178003,84.94699508693036,5.053004913069643,68,458.6515901148172,7,2,4.9969028366955754
57,3.7,42.21334504194815,83927.91591527677,-7.9,242,1987-01-03 09:00:00,3,9,0.5734597156398105,0.5585353274883961,Neither,57,0.543789223939997,8.920513884178003,76.31063768415926,13.68936231584074,116,633.7688422621674,5,3,3.9398656981638185
58,6.5,33.08613530314855,83927.91591527677,-8.6,361,1987-01-03 10:00:00,3,10,0.6492805755395683,0.5585353274883961,Neither,58,0.5800525923191103,9.920513884178003,69.38326961000641,20.61673038999359,129,734.4806332263375,3,2,3.459394271558475
59,9.3,26.24072799904885,83727.91591527677,-9.1,369,1987-01-03 11:00:00,3,11,0.5866454689984102,0.5585353274883961,Neither,59,0.6375333695307904,10.920513884178003,64.74895231147816,25.251047688521837,165,542.0581656345603,6,2,5.477374263300919
60,11.5,20.536221912299098,83627.91591527677,-10.3,398,1987-01-03 12:00:00,3,12,0.6257861635220126,0.5585353274883961,Neither,60,0.598540125803553,11.920513884178003,62.93530003852495,27.06469996147505,158,624.8874224886654,7,2,4.9969028366955754
61,12.6,17.11351826024925,83527.91591527677,-11.7,351,1987-01-03 13:00:00,3,13,0.6104347826086957,0.5585353274883961,Neither,61,0.5301879819827358,12.920513884178003,64.18842479599694,25.811575204003063,154,427.8655123532069,9,3,5.957845689906263
62,13.2,17.11351826024925,83427.91591527677,-11.2,196,1987-01-03 14:00:00,3,14,0.43458980044345896,0.5585353274883961,Neither,62,0.48836757445453094,13.920513884178003,68.33561620170602,21.664383798293983,141,100.41676149986924,8,4,3.9398656981638185
63,11.5,23.95892556434895,83427.91591527677,-8.4,100,1987-01-03 15:00:00,3,15,0.3663003663003663,0.5585353274883961,Sunset,63,0.43458980044345896,14.920513884178003,74.88381286637299,15.116187133627008,80,9.603403319239654,10,6,2.4984514183477877
64,9.3,34.2270365204985,83427.91591527677,-5.7,23,1987-01-03 16:00:00,3,16,0.359375,0.5585353274883961,Neither,64,0.18315018315018314,15.920513884178003,83.24517330510179,6.754826694898213,19,0.0,9,5,3.9398656981638185
65,7.6,37.64974017254835,83427.91591527677,-5.9,0,1987-01-03 17:00:00,3,17,0.0,0.5585353274883961,Neither,65,0.1796875,16.920513884178003,92.89740273596651,-2.8974027359665087,0,,8,5,4.420337124769162
66,5.9,44.49514747664805,83327.91591527677,-5.3,0,1987-01-03 18:00:00,3,18,0.0,0.5585353274883961,Neither,66,0.0,17.920513884178003,103.4309411494438,-13.430941149443797,0,,8,3,2.0179799917424437
67,6.5,43.3542462592981,83327.91591527677,-5.1,0,1987-01-03 19:00:00,3,19,0.0,0.5585353274883961,Neither,67,0.0,18.920513884178003,114.53041672090589,-24.53041672090589,0,,9,5,2.4984514183477877
68,5.4,46.77694991134795,83227.91591527677,-5.1,0,1987-01-03 20:00:00,3,20,0.0,0.5585353274883961,Neither,68,0.0,19.920513884178003,125.93005412587642,-35.930054125876424,0,,8,5,2.9789228449531313
69,4.8,50.1996535633978,83227.91591527677,-4.7,0,1987-01-03 21:00:00,3,21,0.0,0.5585353274883961,Neither,69,0.0,20.920513884178003,137.3447798113916,-47.34477981139159,0,,5,2,1.4414142798160312
70,4.3,52.4814559980977,83127.91591527677,-4.6,0,1987-01-03 22:00:00,3,22,0.0,0.5585353274883961,Neither,70,0.0,21.920513884178003,148.31957192173883,-58.31957192173883,0,,3,0,1.4414142798160312
71,2.0,61.6086657368973,83127.91591527677,-4.6,0,1987-01-03 23:00:00,3,23,0.0,0.5585353274883961,Neither,71,0.0,22.920513884178003,157.7532730918774,-67.75327309187739,0,,2,0,1.4414142798160312
72,1.5,66.1722706062971,83027.91591527677,-4.1,0,1987-01-04 00:00:00,4,0,0.0,0.5783936361303567,Neither,72,0.0,-0.08678515301551327,162.56843799279088,-72.56843799279088,0,,6,3,2.9789228449531313
73,1.5,69.59497425834695,83027.91591527677,-3.4,0,1987-01-04 01:00:00,4,1,0.0,0.5783936361303567,Neither,73,0.0,0.9132148469844867,159.16086840927812,-69.16086840927812,0,,7,3,3.459394271558475
74,3.7,52.4814559980977,83027.91591527677,-5.1,0,1987-01-04 02:00:00,4,2,0.0,0.5783936361303567,Neither,74,0.0,1.9132148469844867,150.27390805925813,-60.27390805925813,0,,7,2,2.9789228449531313
75,3.2,54.7632584327976,83027.91591527677,-5.0,0,1987-01-04 03:00:00,4,3,0.0,0.5783936361303567,Neither,75,0.0,2.9132148469844865,139.46811328395611,-49.468113283956114,0,,5,2,2.4984514183477877
76,2.0,59.326863302197395,83027.91591527677,-5.1,0,1987-01-04 04:00:00,4,4,0.0,0.5783936361303567,Neither,76,0.0,3.9132148469844865,128.08807963311727,-38.088079633117275,0,,5,2,2.9789228449531313
77,0.4,66.1722706062971,83027.91591527677,-5.2,0,1987-01-04 05:00:00,4,5,0.0,0.5783936361303567,Neither,77,0.0,4.913214846984487,116.6560550230077,-26.656055023007696,0,,5,2,2.4984514183477877
78,3.2,54.7632584327976,83027.91591527677,-5.0,0,1987-01-04 06:00:00,4,6,0.0,0.5783936361303567,Sunrise,78,0.5675675675675675,5.913214846984487,105.4728507229813,-15.472850722981306,0,,10,4,4.420337124769162
79,8.7,31.9452340857986,83027.91591527677,-7.1,21,1987-01-04 07:00:00,4,7,0.5675675675675675,0.5783936361303567,Neither,79,0.18936170212765957,6.913214846984487,94.80113002513941,-4.801130025139415,11,,9,4,4.9969028366955754
80,10.4,30.80433286844865,83127.91591527677,-6.1,89,1987-01-04 08:00:00,4,8,0.37872340425531914,0.5783936361303567,Neither,80,0.5331927672353204,7.913214846984487,84.94266369610176,5.057336303898239,67,340.0879187051945,9,4,4.9969028366955754
81,14.3,26.24072799904885,83127.91591527677,-4.8,211,1987-01-04 09:00:00,4,9,0.4988179669030733,0.5783936361303567,Neither,81,0.49312514298787463,8.913214846984486,76.28656746293485,13.713432537065145,129,598.10266473923,9,4,4.420337124769162
82,17.6,21.67712312964905,83027.91591527677,-4.5,339,1987-01-04 10:00:00,4,10,0.6075268817204301,0.5783936361303567,Neither,82,0.5647814081741991,9.913214846984486,69.33515013271294,20.66484986728706,143,742.0106181898495,8,3,5.477374263300919
83,19.8,15.9726170428993,83027.91591527677,-6.7,398,1987-01-04 11:00:00,4,11,0.6307448494453248,0.5783936361303567,Neither,83,0.6313496477567668,10.913214846984486,64.67399278868773,25.326007211312273,147,709.2926457190157,8,2,4.9969028366955754
84,20.9,15.9726170428993,82927.91591527677,-5.9,418,1987-01-04 12:00:00,4,12,0.6551724137931034,0.5783936361303567,Neither,84,0.6086250198783718,11.913214846984486,62.83410647074559,27.16589352925441,142,666.7242432193034,7,3,3.9398656981638185
85,20.9,13.6908146081994,82827.91591527677,-7.9,339,1987-01-04 13:00:00,4,13,0.5865051903114187,0.5783936361303567,Neither,85,0.6271456782621905,12.913214846984486,64.065727652932,25.934272347068003,149,409.9377826931395,6,3,4.9969028366955754
86,20.4,15.9726170428993,82827.91591527677,-6.3,272,1987-01-04 14:00:00,4,14,0.5991189427312775,0.5783936361303567,Neither,86,0.528759841532521,13.913214846984486,68.19849563900004,21.801504360999957,120,337.3306393521691,3,1,4.9969028366955754
