,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
52,6.3,34.743637272310906,95352.29082600196,-8.1,0,2001-01-03 04:00:00-08:00,3,4,0.0,0.6610687022900763,Neither,52,0.0,0.0,0.0,1,0,2.832629258614399
53,5.7,32.347524356979115,95452.29082600196,-9.6,0,2001-01-03 05:00:00-08:00,3,5,0.0,0.6610687022900763,Neither,53,0.0,0.0,0.0,1,0,2.375753571741109
54,5.7,32.347524356979115,95452.29082600196,-9.6,0,2001-01-03 06:00:00-08:00,3,6,0.0,0.6610687022900763,Sunrise,54,0.4315068493150685,0.0,0.0,1,0,1.9188778848678187
55,6.9,33.54558081464501,95552.29082600196,-8.0,63,2001-01-03 07:00:00-08:00,3,7,0.4315068493150685,0.6610687022900763,Neither,55,0.29784366576819404,63.0,0.0,1,0,2.832629258614399
56,11.3,27.555298526315543,95652.29082600196,-6.7,221,2001-01-03 08:00:00-08:00,3,8,0.5956873315363881,0.6610687022900763,Neither,56,0.5309708159618821,180.50302008828214,391.4458861563467,1,0,2.832629258614399
57,15.6,19.16890332265429,95552.29082600196,-7.8,348,2001-01-03 09:00:00-08:00,3,9,0.6304347826086957,0.6610687022900763,Neither,57,0.6418258351589816,149.4102216557343,753.1031886436617,1,0,1.3706270606198705
58,17.4,15.574733949656611,95652.29082600196,-9.0,463,2001-01-03 10:00:00-08:00,3,10,0.687964338781575,0.6610687022900763,Neither,58,0.6515310089109503,109.85775697898225,901.934430264334,1,0,0.0
59,19.2,15.574733949656611,95552.29082600196,-7.6,489,2001-01-03 11:00:00-08:00,3,11,0.672627235213205,0.6610687022900763,Neither,59,0.6813061130527593,65.41031882501204,887.259636184817,1,0,1.3706270606198705
60,19.9,14.37667749199072,95452.29082600196,-8.0,479,2001-01-03 12:00:00-08:00,3,12,0.6746478873239437,0.6610687022900763,Neither,60,0.7028731031371491,124.08640298323724,688.691831443006,1,0,0.0
61,21.1,13.178621034324825,95452.29082600196,-8.2,456,2001-01-03 13:00:00-08:00,3,13,0.7331189710610932,0.6610687022900763,Neither,61,0.6717188481205705,132.0350716681205,644.4296472194233,1,0,0.0
62,22.3,14.37667749199072,95352.29082600196,-6.1,315,2001-01-03 14:00:00-08:00,3,14,0.6687898089171974,0.6610687022900763,Neither,62,0.7293414404177647,182.86596359939995,300.03589920380534,1,0,0.0
63,20.5,13.178621034324825,95052.29082600196,-8.7,193,2001-01-03 15:00:00-08:00,3,15,0.7255639097744361,0.6610687022900763,Neither,63,0.37787316532816395,139.11914612998504,161.95561736817712,1,0,1.3706270606198705
