,0,1,2,3,4,5,6,7,8,9,10,11,12,vintage,cz,scen_year,scenario,year,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_2_10_4,0.0,36.11,5.76,0.0,2.67,115.17,4231.51,15.99,0.0,0.0,0.0,19.76,1.12,new,2b,ssp585,2050,RefBldgMediumOffice,27344.23,18.52,301665.47,30755.67,6801.02,889162.56,1309894.46,31.88,335645.98,584922.74,304239.82,31406.16,34.22,90.64,386510.81,260658.6,125852.22
2_2_10_5,0.0,0.33,0.6,0.0,0.0,2123.0,7511.16,35.06,0.0,0.0,0.0,970.18,0.01,new,2b,ssp585,2050,RefBldgMidriseApartment,0.0,7509.74,134264.34,23850.15,57685.04,354207.51,608536.91,29.38,148426.72,238103.32,116104.2,32322.52,32.78,78.22,166121.86,117999.77,48122.09
2_2_11_4,0.0,27.25,7.42,0.0,2.33,175.0,4226.82,20.68,0.0,0.0,0.0,34.61,0.86,new,2b,ssp585,2065,RefBldgMediumOffice,24414.36,4.6,334582.13,32504.71,6787.11,920898.39,1308680.32,32.98,333640.99,615985.04,304913.35,28727.64,33.11,91.39,400291.86,274197.0,126094.86
2_2_11_5,0.0,0.21,7.63,0.0,0.0,2542.17,7409.72,136.51,0.0,0.0,0.0,1580.95,0.01,new,2b,ssp585,2065,RefBldgMidriseApartment,0.0,5889.51,149147.23,25739.13,56064.81,370979.38,608008.74,30.48,147566.82,252096.25,118883.13,28683.69,32.05,80.56,173367.67,124134.53,49233.14
2_2_12_4,0.0,20.45,10.26,0.0,1.83,302.17,4223.29,24.21,0.0,0.0,0.0,80.21,0.64,new,2b,ssp585,2080,RefBldgMediumOffice,21633.82,0.1,374001.81,35166.11,6782.62,960198.93,1306142.36,34.1,331207.29,655009.49,305189.44,26017.84,31.78,92.14,417395.54,291195.91,126199.63
2_2_12_5,0.0,0.14,60.02,0.0,0.0,2981.67,7168.22,375.6,2.41,0.0,0.0,2611.52,0.01,new,2b,ssp585,2080,RefBldgMidriseApartment,0.0,4557.9,165755.91,27778.95,54733.2,389627.88,606450.43,31.6,146361.58,268100.73,121527.14,24834.44,31.19,83.03,181532.68,131243.14,50289.54
2_3_0_4,0.0,141.62,0.06,0.0,8.67,1.0,4232.79,14.71,0.0,0.0,0.0,2.97,5.34,new,3a,historical,2020,RefBldgMediumOffice,54514.76,9337.73,128831.04,19427.66,17808.38,732173.11,1174809.41,20.84,315262.7,469718.63,262454.48,52808.23,35.85,83.25,306794.29,196154.89,110639.41
2_3_0_5,0.0,13.55,0.0,0.0,0.0,75.0,7546.22,0.0,0.0,0.0,0.0,23.93,0.04,new,3a,historical,2020,RefBldgMidriseApartment,0.0,41256.87,50470.73,12642.01,109530.26,259206.66,589569.26,18.76,151481.11,173624.29,85582.36,65898.75,33.02,56.5,128869.49,92211.5,36657.99
2_3_1_4,0.0,93.82,0.63,0.0,7.0,3.33,4220.02,27.48,0.0,0.0,0.0,5.78,4.22,new,3a,ssp126,2035,RefBldgMediumOffice,45635.43,7265.99,168824.83,20657.58,15736.65,764517.5,1163324.33,22.98,308932.45,500293.59,264223.91,44708.53,34.56,85.53,320979.11,209553.15,111425.96
2_3_1_5,0.0,6.51,0.01,0.0,0.0,737.17,7546.22,0.0,0.0,0.0,0.0,224.18,0.02,new,3a,ssp126,2035,RefBldgMidriseApartment,0.0,33011.13,70004.27,15599.48,101284.52,281697.66,583151.07,20.91,148091.78,189286.81,92410.85,55680.93,32.8,62.4,137197.98,97530.99,39666.99
2_3_2_4,0.0,88.04,0.89,0.0,6.67,3.83,4218.4,29.1,0.0,0.0,0.0,5.96,4.06,new,3a,ssp126,2050,RefBldgMediumOffice,44474.42,6910.24,175834.18,20835.51,15380.89,770543.77,1159824.83,23.32,307388.25,506710.02,263833.75,43554.5,34.24,85.83,323584.85,212323.41,111261.44
2_3_2_5,0.0,5.55,0.07,0.0,0.0,869.33,7546.22,0.0,0.0,0.0,0.0,292.16,0.03,new,3a,ssp126,2050,RefBldgMidriseApartment,0.0,31898.05,73287.29,16085.38,100171.45,285466.58,581034.82,21.26,147202.64,192241.26,93225.32,53977.33,32.66,63.33,138621.07,98595.84,40025.22
2_3_3_4,0.0,85.43,0.91,0.0,6.5,5.67,4217.6,29.9,0.0,0.0,0.0,6.14,3.92,new,3a,ssp126,2065,RefBldgMediumOffice,43755.68,6591.0,178335.65,20861.14,15061.66,772352.14,1157761.07,23.41,306688.85,508538.17,263813.96,42874.88,34.16,86.02,324350.32,213082.26,111268.05
2_3_3_5,0.0,5.27,0.07,0.0,0.0,927.17,7546.22,0.0,0.0,0.0,0.0,320.75,0.03,new,3a,ssp126,2065,RefBldgMidriseApartment,0.0,30978.79,74399.78,16243.51,99252.18,286737.2,579871.64,21.35,146794.14,193138.4,93598.8,53195.34,32.64,63.76,139001.23,98811.65,40189.58
2_3_4_4,0.0,86.03,0.81,0.0,6.5,5.17,4217.62,29.88,0.0,0.0,0.0,6.1,3.95,new,3a,ssp126,2080,RefBldgMediumOffice,43695.25,6574.19,177980.62,20842.04,15044.84,771917.57,1155715.6,23.41,306233.33,508330.69,263586.88,42646.45,34.15,86.07,324135.5,212995.15,111140.35
2_3_4_5,0.0,5.54,0.04,0.0,0.0,895.5,7546.22,0.0,0.0,0.0,0.0,305.29,0.02,new,3a,ssp126,2080,RefBldgMidriseApartment,0.0,30858.13,74199.25,16202.84,99131.53,286496.0,579000.27,21.36,146582.68,192966.19,93529.81,53052.87,32.65,63.81,138869.39,98718.53,40150.85
2_3_5_4,0.0,91.51,0.43,0.0,7.17,5.17,4219.25,28.25,0.0,0.0,0.0,5.93,4.21,new,3a,ssp245,2035,RefBldgMediumOffice,46092.6,7048.22,170272.94,20582.19,15518.86,766347.4,1164761.81,22.86,309546.99,501803.18,264544.22,45002.78,34.52,85.46,321903.1,210277.5,111625.61
2_3_5_5,0.0,5.97,0.0,0.0,0.0,867.83,7546.22,0.01,0.0,0.0,0.0,288.46,0.02,new,3a,ssp245,2035,RefBldgMidriseApartment,0.0,33082.18,70735.76,15798.42,101355.57,282628.08,583671.03,20.79,148367.99,190232.31,92395.77,55972.21,32.69,62.27,137693.16,97994.54,39698.62
2_3_6_4,0.0,81.17,0.66,0.0,6.5,8.0,4216.1,31.4,0.0,0.0,0.0,6.57,3.89,new,3a,ssp245,2050,RefBldgMediumOffice,43593.82,6336.5,181907.57,20917.65,14807.15,775818.7,1159538.77,23.41,307371.1,511374.34,264444.36,42926.74,34.09,86.03,326062.51,214466.71,111595.8
2_3_6_5,0.0,4.82,0.01,0.0,0.0,1109.83,7545.81,0.41,0.0,0.0,0.0,439.73,0.02,new,3a,ssp245,2050,RefBldgMidriseApartment,0.0,30644.16,76508.65,16657.49,98917.55,289260.05,580949.84,21.35,147217.03,195266.3,93993.75,53223.28,32.49,63.85,140130.52,99732.63,40397.89
2_3_7_4,0.0,73.16,0.97,0.0,6.33,11.5,4212.78,34.72,0.0,0.0,0.0,7.97,3.63,new,3a,ssp245,2065,RefBldgMediumOffice,41777.0,5852.32,191991.28,21205.84,14322.97,784373.77,1152883.94,23.9,304896.39,520497.33,263876.44,41019.94,33.64,86.55,329726.94,218396.12,111330.81
2_3_7_5,0.0,3.9,0.06,0.0,0.0,1291.83,7544.93,1.3,0.0,0.0,0.0,570.26,0.02,new,3a,ssp245,2065,RefBldgMidriseApartment,0.0,28956.47,81489.64,17394.9,97229.87,294978.46,577335.72,21.84,145859.46,199809.21,95169.25,50690.21,32.26,65.25,142252.96,101361.29,40891.68
2_3_8_4,0.0,67.65,1.17,0.0,5.83,11.83,4211.23,36.27,0.0,0.0,0.0,8.59,3.52,new,3a,ssp245,2080,RefBldgMediumOffice,40670.21,5645.42,199568.45,21433.72,14116.07,791072.05,1152716.81,24.25,304347.95,526820.25,264251.8,40096.16,33.4,86.83,332622.98,221128.78,111494.2
2_3_8_5,0.0,3.44,0.1,0.0,0.0,1445.0,7542.88,3.34,0.0,0.0,0.0,682.91,0.02,new,3a,ssp245,2080,RefBldgMidriseApartment,0.0,28004.2,85236.25,17971.76,96277.59,299301.93,577000.0,22.2,145530.12,203152.0,96149.92,49380.19,32.12,66.07,143925.36,102612.88,41312.48
2_3_9_4,0.0,86.76,0.63,0.0,6.67,7.67,4218.19,29.31,0.0,0.0,0.0,6.02,4.08,new,3a,ssp585,2035,RefBldgMediumOffice,44924.86,6958.11,175263.53,20788.68,15428.76,770376.72,1162883.15,23.12,308673.58,505583.06,264793.66,43879.92,34.37,85.78,323678.27,211934.46,111743.81
2_3_9_5,0.0,5.64,0.01,0.0,0.0,946.83,7546.12,0.1,0.0,0.0,0.0,334.88,0.02,new,3a,ssp585,2035,RefBldgMidriseApartment,0.0,32098.93,73371.77,16197.67,100372.33,285663.35,582874.99,21.06,147978.3,192413.67,93249.69,54728.62,32.64,63.02,138814.48,98748.42,40066.06
2_3_10_4,0.0,68.7,1.14,0.0,6.17,12.17,4211.43,36.07,0.0,0.0,0.0,8.31,3.61,new,3a,ssp585,2050,RefBldgMediumOffice,41019.8,5768.06,198247.84,21417.81,14238.71,790085.11,1161641.21,24.16,306874.68,523991.94,266093.17,40781.51,33.68,86.71,332261.16,219948.64,112312.52
2_3_10_5,0.0,3.63,0.14,0.0,0.0,1441.67,7531.57,14.65,0.0,0.0,0.0,689.0,0.02,new,3a,ssp585,2050,RefBldgMidriseApartment,0.0,28391.23,84418.99,17881.08,96664.63,298393.98,582059.35,22.09,147054.53,201853.8,96540.18,50514.35,32.35,65.65,143617.63,102129.51,41488.12
2_3_11_4,0.0,54.09,2.01,0.0,5.67,19.0,4209.39,38.11,0.0,0.0,0.0,9.08,3.17,new,3a,ssp585,2065,RefBldgMediumOffice,37627.84,4985.0,224582.81,22185.34,13455.66,813795.65,1158007.8,25.23,304341.22,547035.23,266760.42,37580.79,32.78,87.65,342666.01,230055.35,112610.65
2_3_11_5,0.0,2.47,2.94,0.0,0.0,1985.5,7433.25,112.98,0.0,0.0,0.0,1311.9,0.02,new,3a,ssp585,2065,RefBldgMidriseApartment,0.0,25420.29,96537.6,19688.18,93693.69,312319.69,579879.34,23.17,145715.68,212774.71,99544.98,46170.69,31.87,68.31,149035.58,106255.67,42779.91
2_3_12_4,0.0,41.35,3.02,0.0,4.67,92.67,4201.51,45.99,0.0,0.0,0.0,23.87,2.78,new,3a,ssp585,2080,RefBldgMediumOffice,34149.37,4449.03,258096.3,23793.82,12919.69,845439.15,1155633.11,26.34,302048.95,577709.34,267729.82,34319.14,31.67,88.64,356715.08,243671.31,113043.77
2_3_12_5,0.0,1.67,46.87,0.0,0.0,2597.67,7085.69,455.89,4.64,0.0,0.0,2534.95,0.02,new,3a,ssp585,2080,RefBldgMidriseApartment,0.0,22567.65,110422.26,21702.18,90841.05,328218.35,578330.36,24.28,144502.73,225382.59,102835.76,41666.97,31.33,71.17,155284.83,111100.97,44183.86
2_4_0_4,0.0,130.95,0.2,0.0,7.67,4.17,4243.51,3.99,0.0,0.0,0.0,6.12,4.28,new,3b,historical,2020,RefBldgMediumOffice,41167.84,1464.42,147229.72,22691.01,9005.25,740416.68,1249509.02,24.29,329776.96,457289.77,283126.91,46650.06,38.24,85.85,281339.69,183918.08,97421.61
2_4_0_5,0.0,20.83,0.0,0.0,0.0,144.83,7546.22,0.0,0.0,0.0,0.0,40.35,0.02,new,3b,historical,2020,RefBldgMidriseApartment,0.0,26189.75,61952.51,14428.29,84513.65,272448.82,554917.15,21.82,136607.98,181725.78,90723.04,45884.93,33.3,66.41,121202.2,89736.59,31465.61
2_4_1_4,0.0,87.85,0.52,0.0,4.67,9.67,4242.93,4.57,0.0,0.0,0.0,7.73,2.53,new,3b,ssp126,2035,RefBldgMediumOffice,34193.09,419.09,169583.77,23730.96,7959.92,756835.93,1218335.12,25.96,319432.52,477997.53,278838.39,40594.13,36.84,87.29,286902.77,191030.84,95871.93
2_4_1_5,0.0,9.79,0.0,0.0,0.0,507.83,7546.22,0.0,0.0,0.0,0.0,142.38,0.02,new,3b,ssp126,2035,RefBldgMidriseApartment,0.0,18471.41,73886.48,15921.81,76795.3,285876.31,539722.9,23.54,131303.65,193053.93,92822.38,38481.26,32.47,70.69,124896.12,92775.32,32120.8
2_4_2_4,0.0,84.63,0.6,0.0,4.67,13.33,4242.63,4.87,0.0,0.0,0.0,8.32,2.49,new,3b,ssp126,2050,RefBldgMediumOffice,33992.33,402.49,172707.43,23863.3,7943.32,759891.17,1216317.42,26.14,318509.38,481455.49,278435.68,40073.7,36.64,87.42,288002.24,192294.98,95707.26
2_4_2_5,0.0,9.11,0.0,0.0,0.0,565.83,7546.22,0.0,0.0,0.0,0.0,164.65,0.02,new,3b,ssp126,2050,RefBldgMidriseApartment,0.0,18264.42,75517.69,16155.21,76588.31,287740.93,538862.69,23.72,130917.42,194648.26,93092.67,37824.75,32.35,71.11,125559.49,93362.13,32197.36
2_4_3_4,0.0,83.69,0.61,0.0,4.67,13.0,4242.75,4.75,0.0,0.0,0.0,8.14,2.49,new,3b,ssp126,2065,RefBldgMediumOffice,33933.61,406.59,172905.56,23870.19,7947.42,760037.46,1216647.83,26.17,318507.91,481595.93,278441.53,40066.38,36.64,87.42,288036.84,192344.57,95692.27
2_4_3_5,0.0,8.99,0.0,0.0,0.0,558.17,7546.22,0.0,0.0,0.0,0.0,158.29,0.02,new,3b,ssp126,2065,RefBldgMidriseApartment,0.0,18187.54,75562.53,16165.57,76511.43,287796.13,539023.25,23.76,130933.1,194740.86,93055.26,37877.83,32.33,71.07,125554.85,93378.61,32176.24
2_4_4_4,0.0,83.44,0.62,0.0,4.67,12.0,4242.76,4.74,0.0,0.0,0.0,7.95,2.5,new,3b,ssp126,2080,RefBldgMediumOffice,34031.99,420.28,172548.73,23842.74,7961.11,759751.57,1214349.83,26.15,317979.53,481653.56,278098.0,39881.52,36.6,87.46,287931.36,192357.31,95574.05
2_4_4_5,0.0,8.78,0.0,0.0,0.0,539.0,7546.22,0.0,0.0,0.0,0.0,153.27,0.02,new,3b,ssp126,2080,RefBldgMidriseApartment,0.0,18260.73,75314.49,16126.59,76584.62,287509.1,537906.06,23.74,130617.41,194623.52,92885.58,37731.82,32.31,71.11,125452.59,93338.2,32114.39
2_4_5_4,0.0,93.02,0.63,0.0,6.17,9.17,4242.89,4.61,0.0,0.0,0.0,7.43,3.1,new,3b,ssp245,2035,RefBldgMediumOffice,35606.67,781.56,169315.77,23683.06,8322.39,757933.61,1226498.49,25.82,321476.87,477583.22,280350.39,41126.48,36.99,87.21,287390.66,190996.09,96394.58
2_4_5_5,0.0,10.92,0.0,0.0,0.0,470.17,7546.22,0.0,0.0,0.0,0.0,136.82,0.02,new,3b,ssp245,2035,RefBldgMidriseApartment,0.0,20491.69,73764.81,16018.84,78815.59,285851.67,543709.18,23.38,132438.44,192530.52,93321.16,39117.28,32.65,70.46,125228.33,92935.0,32293.33
2_4_6_4,0.0,85.29,0.74,0.0,5.17,12.5,4242.19,5.31,0.0,0.0,0.0,8.18,2.91,new,3b,ssp245,2050,RefBldgMediumOffice,34650.11,682.57,175547.87,24004.84,8223.4,763530.93,1223610.04,26.16,320132.39,483469.22,280061.71,40070.67,36.68,87.48,289379.51,193089.26,96290.25
2_4_6_5,0.0,9.33,0.0,0.0,0.0,610.17,7546.22,0.0,0.0,0.0,0.0,188.74,0.02,new,3b,ssp245,2050,RefBldgMidriseApartment,0.0,19589.67,77117.5,16482.48,77913.56,289668.0,542196.87,23.73,131723.83,195505.76,94162.23,37561.6,32.51,71.48,126506.5,93934.52,32571.97
2_4_7_4,0.0,78.23,0.88,0.0,4.83,14.67,4241.82,5.68,0.0,0.0,0.0,8.73,2.71,new,3b,ssp245,2065,RefBldgMediumOffice,33633.37,592.91,181867.77,24285.06,8133.74,769114.32,1219871.39,26.53,318585.94,489553.02,279561.3,39024.64,36.35,87.75,291371.15,195279.42,96091.73
2_4_7_5,0.0,7.92,0.0,0.0,0.0,736.33,7546.22,0.0,0.0,0.0,0.0,241.04,0.02,new,3b,ssp245,2065,RefBldgMidriseApartment,0.0,18630.95,80326.92,16921.72,76954.85,293316.66,540549.23,24.1,131007.96,198525.07,94791.6,36216.37,32.32,72.36,127716.66,94948.97,32767.69
2_4_8_4,0.0,72.98,0.99,0.0,4.5,18.67,4241.36,6.14,0.0,0.0,0.0,9.15,2.56,new,3b,ssp245,2080,RefBldgMediumOffice,32846.27,524.01,186432.71,24479.69,8064.84,773086.78,1219799.18,26.81,318191.54,493414.59,279672.19,38519.34,36.18,87.89,292821.92,196699.24,96122.68
2_4_8_5,0.0,6.81,0.0,0.0,0.0,828.0,7546.21,0.01,0.0,0.0,0.0,286.0,0.02,new,3b,ssp245,2080,RefBldgMidriseApartment,0.0,17811.01,82729.23,17252.4,76134.9,296049.65,540412.65,24.39,130854.83,200716.26,95333.39,35521.44,32.2,72.85,128625.12,95677.14,32947.99
2_4_9_4,0.0,88.53,0.71,0.0,5.33,9.5,4242.58,4.92,0.0,0.0,0.0,7.8,2.91,new,3b,ssp585,2035,RefBldgMediumOffice,34737.97,675.43,172581.98,23848.13,8216.27,760496.19,1225083.37,26.04,320783.02,480197.05,280299.13,40483.88,36.86,87.38,288277.61,191897.47,96380.14
2_4_9_5,0.0,10.0,0.0,0.0,0.0,533.67,7546.22,0.0,0.0,0.0,0.0,157.16,0.02,new,3b,ssp585,2035,RefBldgMidriseApartment,0.0,19608.57,75349.7,16223.62,77932.47,287641.34,542949.29,23.6,132058.01,193966.43,93674.91,38383.09,32.57,70.93,125750.54,93338.57,32411.97
2_4_10_4,0.0,74.55,0.94,0.0,4.5,17.5,4241.79,5.71,0.0,0.0,0.0,8.75,2.54,new,3b,ssp585,2050,RefBldgMediumOffice,32582.56,530.43,183791.23,24383.71,8071.27,770085.61,1223062.58,26.72,319226.88,489747.9,280337.72,38889.16,36.4,87.82,291677.11,195303.55,96373.56
2_4_10_5,0.0,7.23,0.0,0.0,0.0,754.67,7546.22,0.0,0.0,0.0,0.0,246.18,0.02,new,3b,ssp585,2050,RefBldgMidriseApartment,0.0,17652.42,81313.59,17065.18,75976.31,294446.79,542048.03,24.29,131409.13,199140.24,95306.55,36102.58,32.37,72.53,127972.94,95022.39,32950.55
2_4_11_4,0.0,62.67,1.27,0.0,4.5,26.0,4239.06,8.44,0.0,0.0,0.0,11.22,2.24,new,3b,ssp585,2065,RefBldgMediumOffice,30690.74,420.0,196650.33,25010.95,7960.84,781680.13,1222307.11,27.41,317988.74,501144.72,280535.41,37453.33,35.89,88.22,295856.29,199442.94,96413.35
2_4_11_5,0.0,5.17,0.06,0.0,0.0,1004.67,7545.46,0.76,0.0,0.0,0.0,396.75,0.02,new,3b,ssp585,2065,RefBldgMidriseApartment,0.0,16018.07,87954.72,18010.12,74341.96,302032.85,541769.83,24.98,130919.65,205130.91,96901.95,34017.7,32.08,74.02,130567.84,97096.19,33471.65
2_4_12_4,0.0,49.56,1.37,0.0,3.83,56.0,4235.57,11.93,0.0,0.0,0.0,17.11,1.88,new,3b,ssp585,2080,RefBldgMediumOffice,28364.8,297.29,213333.25,25887.8,7838.13,796913.95,1218202.24,28.23,315751.92,516523.35,280390.6,35361.32,35.18,88.8,301346.52,204994.36,96352.17
2_4_12_5,0.0,3.09,1.41,0.0,0.0,1327.0,7525.43,20.8,0.0,0.0,0.0,656.32,0.02,new,3b,ssp585,2080,RefBldgMidriseApartment,0.0,14073.85,96130.44,19152.7,72397.75,311351.16,539738.57,25.81,129852.5,212845.68,98505.48,31347.03,31.64,75.86,133769.7,99780.49,33989.2
2_5_0_4,0.0,208.3,0.02,0.0,0.5,0.0,4247.5,0.0,0.0,0.0,0.0,0.05,0.34,new,3bc,historical,2020,RefBldgMediumOffice,14270.12,9.89,79060.8,16107.71,8278.48,638786.47,1113679.62,20.81,303142.05,397047.95,241738.52,61403.52,37.84,79.74,262934.63,173880.3,89054.33
2_5_0_5,0.0,21.63,0.0,0.0,0.0,0.0,7546.22,0.0,0.0,0.0,0.0,0.65,0.01,new,3bc,historical,2020,RefBldgMidriseApartment,0.0,3886.6,29738.43,8060.51,69955.12,233874.1,497573.79,18.61,124499.29,165907.29,67966.82,56532.48,29.06,54.59,108763.68,83542.92,25220.76
2_5_1_4,0.0,128.31,0.22,0.0,0.17,0.0,4247.32,0.18,0.0,0.0,0.0,0.22,0.19,new,3bc,ssp126,2035,RefBldgMediumOffice,10175.52,4.36,129647.36,17231.6,8272.95,686402.33,1103725.11,22.95,297190.36,436939.51,249462.82,47727.55,36.34,83.94,280969.74,189374.06,91595.68
2_5_1_5,0.0,6.2,0.0,0.0,0.0,60.0,7546.22,0.0,0.0,0.0,0.0,19.21,0.0,new,3bc,ssp126,2035,RefBldgMidriseApartment,0.0,1905.44,45465.97,11150.28,67973.96,252691.42,493144.78,20.77,121890.64,178680.58,74010.84,47879.79,29.29,60.72,115798.02,88470.23,27327.79
2_5_2_4,0.0,120.75,0.3,0.0,0.17,0.0,4247.21,0.29,0.0,0.0,0.0,0.25,0.17,new,3bc,ssp126,2050,RefBldgMediumOffice,9602.65,2.93,136540.86,17382.89,8271.53,692874.25,1099504.72,23.26,295523.64,443427.34,249446.91,46076.73,36.0,84.41,283493.57,191975.58,91517.99
2_5_2_5,0.0,4.47,0.0,0.0,0.0,107.0,7546.22,0.0,0.0,0.0,0.0,33.18,0.0,new,3bc,ssp126,2050,RefBldgMidriseApartment,0.0,1641.11,48175.27,11664.35,67709.63,255914.78,491296.27,21.09,121164.47,181114.84,74799.93,46364.53,29.23,61.73,117031.72,89445.75,27585.97
2_5_3_4,0.0,117.32,0.3,0.0,0.17,0.0,4247.23,0.27,0.0,0.0,0.0,0.25,0.16,new,3bc,ssp126,2065,RefBldgMediumOffice,9294.65,2.11,139312.6,17384.74,8270.71,695339.84,1097869.3,23.38,294920.81,445669.5,249670.34,45250.47,35.91,84.66,284333.28,192773.96,91559.33
2_5_3_5,0.0,3.46,0.01,0.0,0.0,130.83,7546.22,0.0,0.0,0.0,0.0,37.27,0.0,new,3bc,ssp126,2065,RefBldgMidriseApartment,0.0,1512.5,49062.82,11838.22,67581.01,256976.21,490492.49,21.21,120863.6,181876.51,75099.7,45763.9,29.22,62.14,117375.75,89699.65,27676.1
2_5_4_4,0.0,115.54,0.26,0.0,0.17,0.0,4247.23,0.27,0.0,0.0,0.0,0.24,0.15,new,3bc,ssp126,2080,RefBldgMediumOffice,9265.28,1.83,139616.83,17366.99,8270.42,695596.95,1094720.03,23.41,294040.61,446446.1,249150.85,44889.76,35.82,84.73,284411.09,193064.57,91346.52
2_5_4_5,0.0,3.32,0.01,0.0,0.0,110.33,7546.22,0.0,0.0,0.0,0.0,32.17,0.0,new,3bc,ssp126,2080,RefBldgMidriseApartment,0.0,1489.72,48930.55,11809.15,67558.24,256814.86,489178.68,21.25,120481.73,181906.13,74908.73,45573.0,29.17,62.17,117293.82,89701.05,27592.78
2_5_5_4,0.0,127.8,0.12,0.0,0.17,0.0,4247.31,0.19,0.0,0.0,0.0,0.22,0.19,new,3bc,ssp245,2035,RefBldgMediumOffice,10370.73,3.61,127480.03,17139.54,8272.2,684338.14,1101757.77,22.83,296954.59,435713.07,248625.07,48329.52,36.33,83.72,280135.24,188885.6,91249.64
2_5_5_5,0.0,5.87,0.0,0.0,0.0,39.0,7546.22,0.0,0.0,0.0,0.0,12.75,0.0,new,3bc,ssp245,2035,RefBldgMidriseApartment,0.0,1971.89,44614.36,11021.86,68040.41,251711.38,492329.48,20.66,121849.79,178495.17,73216.21,48633.58,29.09,60.09,115410.65,88389.94,27020.71
2_5_6_4,0.0,110.99,0.23,0.0,0.17,0.0,4247.04,0.46,0.0,0.0,0.0,0.32,0.15,new,3bc,ssp245,2050,RefBldgMediumOffice,9309.51,1.48,138437.7,17460.55,8270.07,694555.61,1097833.1,23.42,295092.35,445175.04,249380.56,45711.79,35.91,84.51,284042.23,192584.62,91457.61
2_5_6_5,0.0,3.86,0.0,0.0,0.0,90.83,7546.22,0.0,0.0,0.0,0.0,29.11,0.0,new,3bc,ssp245,2050,RefBldgMidriseApartment,0.0,1511.75,49443.4,11960.96,67580.27,257479.53,490613.6,21.25,121037.26,182766.13,74713.4,46323.86,29.02,61.73,117607.16,90069.37,27537.79
2_5_7_4,0.0,98.32,0.4,0.0,0.17,0.5,4246.77,0.73,0.0,0.0,0.0,0.44,0.13,new,3bc,ssp245,2065,RefBldgMediumOffice,8643.06,0.77,146785.4,17760.81,8269.36,702537.11,1090735.6,23.91,292495.97,453394.34,249142.77,43353.19,35.46,85.18,287077.32,195761.59,91315.73
2_5_7_5,0.0,2.45,0.02,0.0,0.0,179.83,7546.22,0.0,0.0,0.0,0.0,52.4,0.0,new,3bc,ssp245,2065,RefBldgMidriseApartment,0.0,1288.89,53757.94,12786.53,67357.41,262619.63,487491.31,21.76,119868.4,186763.55,75856.08,44012.32,28.88,63.28,119597.85,91675.0,27922.85
2_5_8_4,0.0,89.47,0.52,0.0,0.17,1.0,4246.1,1.4,0.0,0.0,0.0,0.58,0.13,new,3bc,ssp245,2080,RefBldgMediumOffice,8243.62,0.75,153235.8,18006.1,8269.34,708833.36,1090678.48,24.24,292038.81,458920.96,249912.41,42126.41,35.26,85.58,289481.62,197929.91,91551.7
2_5_8_5,0.0,1.66,0.06,0.0,0.0,336.33,7546.22,0.0,0.0,0.0,0.0,86.33,0.0,new,3bc,ssp245,2080,RefBldgMidriseApartment,0.0,1172.84,57130.77,13441.25,67241.36,266647.18,487468.65,22.09,119725.42,189742.54,76904.64,42820.78,28.84,64.23,121172.21,92896.26,28275.95
2_5_9_4,0.0,119.68,0.24,0.0,0.17,0.0,4247.24,0.26,0.0,0.0,0.0,0.26,0.18,new,3bc,ssp585,2035,RefBldgMediumOffice,10045.77,4.14,132165.3,17276.41,8272.73,688835.33,1098768.11,23.06,295874.31,440093.14,248742.19,47132.12,36.11,84.07,281888.81,190589.9,91298.91
2_5_9_5,0.0,4.95,0.0,0.0,0.0,38.5,7546.22,0.0,0.0,0.0,0.0,14.14,0.0,new,3bc,ssp585,2035,RefBldgMidriseApartment,0.0,1869.61,46464.55,11393.76,67938.13,253933.46,491095.82,20.89,121352.48,180364.34,73569.12,47783.36,28.97,60.62,116296.3,89145.84,27150.46
2_5_10_4,0.0,92.61,0.56,0.0,0.17,0.83,4246.7,0.8,0.0,0.0,0.0,0.49,0.13,new,3bc,ssp585,2050,RefBldgMediumOffice,8309.06,0.84,151168.98,17928.26,8269.43,706754.15,1096054.91,24.11,293702.59,456094.01,250660.13,43042.46,35.47,85.34,288729.92,196836.69,91893.23
2_5_10_5,0.0,2.02,0.07,0.0,0.0,259.5,7546.22,0.0,0.0,0.0,0.0,72.81,0.0,new,3bc,ssp585,2050,RefBldgMidriseApartment,0.0,1211.86,55896.34,13225.58,67280.38,265197.09,489820.71,21.95,120435.74,188508.52,76688.57,43747.17,28.92,63.68,120620.95,92389.3,28231.64
2_5_11_4,0.0,71.01,0.98,0.0,0.17,4.67,4243.56,3.94,0.0,0.0,0.0,1.17,0.1,new,3bc,ssp585,2065,RefBldgMediumOffice,6928.34,0.18,172889.94,18685.67,8268.76,727851.8,1093001.05,25.21,291405.65,475550.96,252300.84,39104.81,34.66,86.58,296754.85,204378.78,92376.07
2_5_11_5,0.0,0.6,0.73,0.0,0.0,880.17,7546.22,0.01,0.0,0.0,0.0,265.76,0.0,new,3bc,ssp585,2065,RefBldgMidriseApartment,0.0,805.39,67035.6,15331.39,66873.91,278442.16,488627.88,23.05,119556.13,198604.07,79838.09,39718.04,28.67,66.78,125848.3,96543.06,29305.24
