,0,1,2,3,4,5,6,7,8,9,10,11,12,vintage,cz,scen_year,scenario,year,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_1_5_5,0.0,0.27,2.7,0.0,0.0,2395.33,7486.07,60.15,0.0,0.0,0.0,1196.81,0.01,new,2a,ssp245,2035,RefBldgMidriseApartment,0.0,17713.03,104048.3,21020.33,74648.91,321167.89,526031.26,24.37,129346.71,224169.74,96998.15,32348.56,30.2,74.99,180771.12,130330.54,50440.57
2_1_6_4,0.0,35.99,2.98,0.0,3.5,65.33,4201.14,46.36,0.0,0.0,0.0,14.88,2.33,new,2a,ssp245,2050,RefBldgMediumOffice,33185.55,546.9,270833.99,24414.63,7961.68,857848.65,1090346.88,26.97,286262.33,599209.46,258639.19,27623.14,30.15,90.35,447233.72,313008.68,134225.04
2_1_6_5,0.0,0.13,9.26,0.0,0.0,2869.5,7392.2,154.02,0.0,0.0,0.0,1734.21,0.01,new,2a,ssp245,2050,RefBldgMidriseApartment,0.0,15585.55,111719.48,22153.24,72521.43,329971.99,525995.31,24.96,129065.8,231541.43,98430.56,30635.24,29.83,76.26,184989.5,133803.93,51185.58
2_1_7_4,0.0,31.0,3.97,0.0,3.5,72.83,4198.38,49.12,0.0,0.0,0.0,16.12,2.19,new,2a,ssp245,2065,RefBldgMediumOffice,31608.49,471.23,286690.1,24889.29,7886.01,872602.35,1089396.28,27.49,285440.48,613742.82,258859.53,26580.95,29.67,90.69,454938.81,320599.46,134339.35
2_1_7_5,0.0,0.07,20.83,0.0,0.0,3104.67,7243.77,302.33,0.12,0.0,0.0,2287.72,0.01,new,2a,ssp245,2065,RefBldgMidriseApartment,0.0,14450.5,118812.88,23221.25,71386.38,338133.4,525423.81,25.47,128654.5,238609.47,99523.93,29130.57,29.43,77.36,189045.39,137293.15,51752.23
2_1_8_4,0.0,27.72,4.85,0.0,2.83,79.17,4196.0,51.5,0.0,0.0,0.0,17.51,2.0,new,2a,ssp245,2080,RefBldgMediumOffice,30125.01,414.03,300262.05,25291.5,7828.81,885093.04,1091412.88,27.91,285501.58,625424.39,259668.65,25832.92,29.34,90.95,461443.11,326686.03,134757.08
2_1_8_5,0.0,0.05,42.42,0.0,0.0,3240.83,7062.6,482.65,0.98,0.0,0.0,2801.11,0.01,new,2a,ssp245,2080,RefBldgMidriseApartment,0.0,13409.97,124402.0,24054.03,70345.86,344555.3,526312.04,25.9,128698.31,243994.4,100560.89,28137.42,29.19,78.14,192194.12,139906.67,52287.45
2_1_9_4,0.0,39.84,2.81,0.0,3.83,60.83,4202.19,45.31,0.0,0.0,0.0,14.37,2.54,new,2a,ssp585,2035,RefBldgMediumOffice,34853.42,683.18,263759.58,24239.58,8097.95,852267.05,1088232.14,26.72,285928.84,594274.4,257992.65,27936.19,30.27,90.23,444334.62,310444.31,133890.31
2_1_9_5,0.0,0.25,8.49,0.0,0.0,2704.5,7423.18,123.04,0.0,0.0,0.0,1512.66,0.01,new,2a,ssp585,2035,RefBldgMidriseApartment,0.0,17051.69,108647.84,21701.45,73987.57,326448.56,524889.6,24.71,128839.21,228729.62,97718.95,31120.26,29.93,75.85,183408.12,132592.65,50815.48
2_1_10_4,0.0,28.22,4.46,0.0,3.0,95.83,4197.05,50.45,0.0,0.0,0.0,21.06,2.05,new,2a,ssp585,2050,RefBldgMediumOffice,30163.64,442.5,299892.76,25421.39,7857.28,884892.26,1095705.11,27.87,286568.96,624440.61,260451.65,26117.31,29.43,90.89,461303.97,326129.84,135174.14
