,0,1,2,3,4,5,6,7,8,9,10,11,12,vintage,cz,scen_year,scenario,year
2_0_12_4,0.0,1.27,60.13,0.0,0.0,958.67,4130.44,117.06,0.0,0.0,0.0,376.94,0.01,new,1a,historical,2020,RefBldgMediumOffice
2_0_12_5,0.0,0.0,1697.38,0.0,0.0,6882.67,4873.52,1544.34,1048.83,79.52,0.0,12443.05,0.0,new,1a,historical,2020,RefBldgMidriseApartment
2_1_0_4,0.0,80.55,0.56,0.0,5.83,17.67,4220.82,26.68,0.0,0.0,0.0,7.43,3.85,new,2a,historical,2020,RefBldgMediumOffice
2_1_0_5,0.0,2.1,0.02,0.0,0.0,730.83,7546.22,0.0,0.0,0.0,0.0,180.12,0.02,new,2a,historical,2020,RefBldgMidriseApartment
2_1_1_4,0.0,45.92,2.06,0.0,3.67,46.17,4206.64,40.86,0.0,0.0,0.0,12.92,2.52,new,2a,historical,2020,RefBldgMediumOffice
2_1_1_5,0.0,0.27,1.12,0.0,0.0,1972.83,7529.83,16.4,0.0,0.0,0.0,819.13,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_2_4,0.0,41.22,2.5,0.0,3.5,50.0,4205.69,41.81,0.0,0.0,0.0,13.13,2.31,new,2a,historical,2020,RefBldgMediumOffice
2_1_2_5,0.0,0.21,2.02,0.0,0.0,2240.0,7520.04,26.18,0.0,0.0,0.0,983.88,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_3_4,0.0,40.25,2.76,0.0,3.33,50.17,4204.6,42.9,0.0,0.0,0.0,13.2,2.28,new,2a,historical,2020,RefBldgMediumOffice
2_1_3_5,0.0,0.18,2.79,0.0,0.0,2367.83,7507.62,38.6,0.0,0.0,0.0,1085.8,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_4_4,0.0,40.64,2.62,0.0,3.5,50.17,4203.73,43.77,0.0,0.0,0.0,13.39,2.32,new,2a,historical,2020,RefBldgMediumOffice
2_1_4_5,0.0,0.18,2.3,0.0,0.0,2344.5,7514.72,31.5,0.0,0.0,0.0,1059.63,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_5_4,0.0,43.51,2.33,0.0,4.0,54.67,4203.69,43.81,0.0,0.0,0.0,13.74,2.66,new,2a,historical,2020,RefBldgMediumOffice
2_1_5_5,0.0,0.27,2.7,0.0,0.0,2395.33,7486.07,60.15,0.0,0.0,0.0,1196.81,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_6_4,0.0,35.99,2.98,0.0,3.5,65.33,4201.14,46.36,0.0,0.0,0.0,14.88,2.33,new,2a,historical,2020,RefBldgMediumOffice
2_1_6_5,0.0,0.13,9.26,0.0,0.0,2869.5,7392.2,154.02,0.0,0.0,0.0,1734.21,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_7_4,0.0,31.0,3.97,0.0,3.5,72.83,4198.38,49.12,0.0,0.0,0.0,16.12,2.19,new,2a,historical,2020,RefBldgMediumOffice
2_1_7_5,0.0,0.07,20.83,0.0,0.0,3104.67,7243.77,302.33,0.12,0.0,0.0,2287.72,0.01,new,2a,historical,2020,RefBldgMidriseApartment
