,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
10,-2.4,100.0,96192.4704483596,-2.4,135,1,10,0.3383458646616541,0.3576994434137291,Neither,10,0.37229649331560155,9.803538694459538,75.949205974888,14.050794025111998,119,65.90274677301173,10,10,2.8582217702003847
11,-2.2,100.0,96092.4704483596,-2.2,173,1,11,0.3673036093418259,0.3576994434137291,Neither,11,0.35861392611964693,10.803538694459538,71.70839264654758,18.29160735345242,150,73.28262610075265,10,10,2.654063072328929
12,-2.2,100.0,96092.4704483596,-2.2,183,1,12,0.37888198757763975,0.3576994434137291,Neither,12,0.36526100007321183,11.803538694459538,69.86973630016999,20.13026369983001,157,75.54720643003994,10,10,2.960301119136113
13,-2.2,100.0,96092.4704483596,-2.2,158,1,13,0.3632183908045977,0.3576994434137291,Neither,13,0.36013585783715824,12.803538694459538,70.6325354481008,19.367464551899204,138,60.30899881498101,10,10,3.368618514879025
14,-2.2,100.0,96092.4704483596,-2.2,113,1,14,0.3413897280966767,0.3576994434137291,Sunset,14,0.3632183908045977,13.803538694459538,73.91179713110299,16.088202868897014,100,46.91162306347693,10,10,3.674856561686209
15,-2.6,100.0,96092.4704483596,-2.6,55,1,15,0.3089887640449438,0.3576994434137291,Neither,15,0.4325996259531003,14.803538694459538,79.37715538353378,10.622844616466224,49,32.54797848741208,10,10,3.674856561686209
16,-2.9,100.0,96192.4704483596,-2.9,11,1,16,0.5238095238095238,0.3576994434137291,Neither,16,0.1544943820224719,15.803538694459538,86.58172544597068,3.418274554029324,8,50.31466769511042,10,10,3.674856561686209
17,-3.3,100.0,96192.4704483596,-3.3,0,1,17,0.0,0.3576994434137291,Neither,17,0.2619047619047619,16.80353869445954,95.07976894691902,-5.0797689469190175,0,-0.0,10,10,3.674856561686209
18,-4.0,100.0,96292.4704483596,-4.0,0,1,18,0.0,0.3576994434137291,Neither,18,0.0,17.80353869445954,104.48138741865509,-14.481387418655089,0,-0.0,10,10,4.1852533063648485
19,-4.8,100.0,96392.4704483596,-4.8,0,1,19,0.0,0.3576994434137291,Neither,19,0.0,18.80353869445954,114.45263439008295,-24.45263439008295,0,-0.0,10,10,4.797729399979218
20,-5.5,100.0,96392.4704483596,-5.5,0,1,20,0.0,0.3576994434137291,Neither,20,0.0,19.80353869445954,124.68088685646687,-34.68088685646687,0,-0.0,10,10,5.308126144657858
21,-5.9,100.0,96492.4704483596,-5.9,0,1,21,0.0,0.3576994434137291,Neither,21,0.0,20.80353869445954,134.80491557380955,-44.80491557380955,0,-0.0,10,10,5.308126144657858
22,-6.2,100.0,96492.4704483596,-6.2,0,1,22,0.0,0.3576994434137291,Neither,22,0.0,21.80353869445954,144.26883893034778,-54.26883893034778,0,-0.0,10,10,5.308126144657858
23,-6.6,100.0,96592.4704483596,-6.6,0,1,23,0.0,0.3576994434137291,Neither,23,0.0,22.80353869445954,151.99692444270966,-61.996924442709656,0,-0.0,10,10,5.308126144657858
24,-7.0,100.0,96592.4704483596,-7.0,0,2,0,0.0,0.6291512915129152,Neither,24,0.0,-0.20390921128671985,155.96738933693402,-65.96738933693402,0,-0.0,10,10,5.818522889336498
25,-7.3,99.96763074355832,96692.4704483596,-7.3,0,2,1,0.0,0.6291512915129152,Neither,25,0.0,0.7960907887132802,154.2720868020879,-64.2720868020879,0,-0.0,10,10,6.328919634015138
26,-7.7,98.73346246277364,96692.4704483596,-7.9,0,2,2,0.0,0.6291512915129152,Neither,26,0.0,1.7960907887132802,147.82442762235902,-57.824427622359025,0,-0.0,10,10,6.839316378693779
27,-8.6,99.96763074355832,96792.4704483596,-8.6,0,2,3,0.0,0.6291512915129152,Neither,27,0.0,2.79609078871328,138.91015961977897,-48.910159619778966,0,-0.0,7,7,5.920602238272226
28,-9.5,100.0,96792.4704483596,-9.5,0,2,4,0.0,0.6291512915129152,Neither,28,0.0,3.79609078871328,128.97306009072057,-38.973060090720566,0,-0.0,4,4,5.103967446786402
29,-10.4,100.0,96892.4704483596,-10.4,0,2,5,0.0,0.6291512915129152,Sunrise,29,0.0,4.79609078871328,118.73335673618594,-28.73335673618594,0,-0.0,1,1,4.1852533063648485
30,-10.6,100.0,96992.4704483596,-10.6,0,2,6,0.0,0.6291512915129152,Neither,30,0.0,5.79609078871328,108.60893913557824,-18.60893913557824,0,-0.0,1,1,4.593570702107762
