,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,17.0,97.57828140848359,98764.97720987597,16.6,0,1988-01-01 00:00:00-05:00,1,0,0.0,0.24354317998385794,Neither,0,0.0,0.0,0.0,10,10,3.791939806775073
1,17.6,93.67515015214425,98764.97720987597,16.6,0,1988-01-01 01:00:00-05:00,1,1,0.0,0.24354317998385794,Neither,1,0.0,0.0,0.0,10,10,3.329508123022016
2,17.0,100.0,98764.97720987597,17.0,0,1988-01-01 02:00:00-05:00,1,2,0.0,0.24354317998385794,Neither,2,0.0,0.0,0.0,10,10,3.329508123022016
3,16.5,100.0,98764.97720987597,16.5,0,1988-01-01 03:00:00-05:00,1,3,0.0,0.24354317998385794,Neither,3,0.0,0.0,0.0,10,10,2.4046447555159003
4,16.5,100.0,98664.97720987597,16.5,0,1988-01-01 04:00:00-05:00,1,4,0.0,0.24354317998385794,Sunrise,4,0.0,0.0,0.0,10,10,2.867076439268958
5,15.9,100.0,98664.97720987597,15.9,0,1988-01-01 05:00:00-05:00,1,5,0.0,0.24354317998385794,Neither,5,0.0,0.0,0.0,10,10,2.4046447555159003
6,15.9,100.0,98664.97720987597,15.9,0,1988-01-01 06:00:00-05:00,1,6,0.0,0.24354317998385794,Neither,6,0.16666666666666666,0.0,0.0,10,10,2.867076439268958
7,15.9,100.0,98764.97720987597,15.9,3,1988-01-01 07:00:00-05:00,1,7,0.3333333333333333,0.24354317998385794,Neither,7,0.09947643979057591,3.0,0.0,10,10,3.329508123022016
8,16.5,100.0,98764.97720987597,16.5,38,1988-01-01 08:00:00-05:00,1,8,0.19895287958115182,0.24354317998385794,Neither,8,0.32818685669041964,38.0,0.0,10,10,3.329508123022016
9,17.0,100.0,98764.97720987597,17.0,136,1988-01-01 09:00:00-05:00,1,9,0.32304038004750596,0.24354317998385794,Neither,9,0.20644161391992916,54.553868401297194,599.2151527553489,10,10,2.867076439268958
10,17.6,100.0,98764.97720987597,17.6,129,1988-01-01 10:00:00-05:00,1,10,0.21393034825870647,0.24354317998385794,Neither,10,0.3371771748093685,117.00453839290644,40.07887166169164,10,10,3.329508123022016
11,18.7,100.0,98764.97720987597,18.7,254,1988-01-01 11:00:00-05:00,1,11,0.35131396957123096,0.24354317998385794,Neither,11,0.21484631108025765,188.2545346885463,153.4913403910445,10,10,3.791939806775073
12,18.7,100.0,98664.97720987597,18.7,167,1988-01-01 12:00:00-05:00,1,12,0.2157622739018088,0.24354317998385794,Neither,12,0.277521165877493,165.80348959404049,2.3293215174986335,10,10,2.867076439268958
13,17.6,100.0,98664.97720987597,17.6,153,1988-01-01 13:00:00-05:00,1,13,0.20372836218375498,0.24354317998385794,Neither,13,0.224496990609441,153.0,0.0,10,10,3.329508123022016
14,17.6,100.0,98564.97720987597,17.6,153,1988-01-01 14:00:00-05:00,1,14,0.23323170731707318,0.24354317998385794,Sunset,14,0.20372836218375498,153.0,0.0,10,10,2.867076439268958
15,13.6,100.0,98664.97720987597,13.6,109,1988-01-01 15:00:00-05:00,1,15,0.21975806451612903,0.24354317998385794,Neither,15,0.21092190348060064,109.0,0.0,10,10,6.196584562290974
16,11.9,100.0,98664.97720987597,11.9,53,1988-01-01 16:00:00-05:00,1,16,0.18861209964412812,0.24354317998385794,Neither,16,0.22752609108159394,53.0,0.0,10,10,5.734152878537916
17,11.4,100.0,98764.97720987597,11.4,12,1988-01-01 17:00:00-05:00,1,17,0.23529411764705882,0.24354317998385794,Neither,17,0.09430604982206406,12.0,0.0,10,10,5.734152878537916
18,11.4,100.0,98764.97720987597,11.4,0,1988-01-01 18:00:00-05:00,1,18,0.0,0.24354317998385794,Neither,18,0.11764705882352941,0.0,0.0,10,10,5.734152878537916
19,11.4,100.0,98764.97720987597,11.4,0,1988-01-01 19:00:00-05:00,1,19,0.0,0.24354317998385794,Neither,19,0.0,0.0,0.0,10,10,5.271721194784859
20,10.8,100.0,98764.97720987597,10.8,0,1988-01-01 20:00:00-05:00,1,20,0.0,0.24354317998385794,Neither,20,0.0,0.0,0.0,10,10,5.271721194784859
21,10.3,100.0,98764.97720987597,10.3,0,1988-01-01 21:00:00-05:00,1,21,0.0,0.24354317998385794,Neither,21,0.0,0.0,0.0,10,10,5.271721194784859
22,9.7,100.0,98764.97720987597,9.7,0,1988-01-01 22:00:00-05:00,1,22,0.0,0.24354317998385794,Neither,22,0.0,0.0,0.0,10,10,4.809289511031801
23,9.1,100.0,98864.97720987597,9.1,0,1988-01-01 23:00:00-05:00,1,23,0.0,0.24354317998385794,Neither,23,0.0,0.0,0.0,10,10,4.254371490528131
24,8.5,100.0,98864.97720987597,8.5,0,1988-01-02 00:00:00-05:00,2,0,0.0,0.4194651116026543,Neither,24,0.0,0.0,0.0,10,10,3.329508123022016
25,8.5,100.0,98864.97720987597,8.5,0,1988-01-02 01:00:00-05:00,2,1,0.0,0.4194651116026543,Neither,25,0.0,0.0,0.0,10,10,4.809289511031801
26,8.5,100.0,98964.97720987597,8.5,0,1988-01-02 02:00:00-05:00,2,2,0.0,0.4194651116026543,Neither,26,0.0,0.0,0.0,10,9,4.254371490528131
27,7.9,100.0,98864.97720987597,7.9,0,1988-01-02 03:00:00-05:00,2,3,0.0,0.4194651116026543,Neither,27,0.0,0.0,0.0,10,10,2.867076439268958
28,7.9,100.0,98864.97720987597,7.9,0,1988-01-02 04:00:00-05:00,2,4,0.0,0.4194651116026543,Sunrise,28,0.0,0.0,0.0,10,10,3.791939806775073
29,7.9,100.0,98864.97720987597,7.9,0,1988-01-02 05:00:00-05:00,2,5,0.0,0.4194651116026543,Neither,29,0.0,0.0,0.0,10,10,2.867076439268958
30,7.9,100.0,98964.97720987597,7.9,0,1988-01-02 06:00:00-05:00,2,6,0.0,0.4194651116026543,Neither,30,0.2777777777777778,0.0,0.0,10,10,3.329508123022016
31,7.9,100.0,99064.97720987597,7.9,5,1988-01-02 07:00:00-05:00,2,7,0.5555555555555556,0.4194651116026543,Neither,31,0.13612565445026178,5.0,0.0,10,10,3.791939806775073
32,8.5,100.0,99164.97720987597,8.5,52,1988-01-02 08:00:00-05:00,2,8,0.27225130890052357,0.4194651116026543,Neither,32,0.4369226708894167,52.0,0.0,10,10,3.791939806775073
33,10.3,100.0,99164.97720987597,10.3,134,1988-01-02 09:00:00-05:00,2,9,0.3182897862232779,0.4194651116026543,Neither,33,0.2983773100794008,52.719461186146106,599.6319053030113,10,10,3.791939806775073
34,11.4,100.0,99164.97720987597,11.4,196,1988-01-02 10:00:00-05:00,2,10,0.32450331125827814,0.4194651116026543,Neither,34,0.34742075518060445,112.35569310258941,279.5301588749522,10,10,6.659016246044032
35,11.9,96.27723765637049,99164.97720987597,11.3,273,1988-01-02 11:00:00-05:00,2,11,0.37655172413793103,0.4194651116026543,Neither,35,0.4945097201452681,185.62788679665812,203.82594054020709,10,10,4.809289511031801
36,12.5,75.46053762256065,99064.97720987597,8.3,515,1988-01-02 12:00:00-05:00,2,12,0.6645161290322581,0.4194651116026543,Neither,36,0.510985025415579,78.18315669520354,849.1353506417169,10,7,5.271721194784859
37,13.6,72.85845011833442,99064.97720987597,8.8,486,1988-01-02 13:00:00-05:00,2,13,0.6454183266932271,0.4194651116026543,Neither,37,0.5115893715070106,171.78619961788797,570.6946391710396,10,4,4.809289511031801
38,13.0,75.46053762256065,99064.97720987597,8.8,236,1988-01-02 14:00:00-05:00,2,14,0.3586626139817629,0.4194651116026543,Sunset,38,0.6454183266932271,217.57663522105494,34.45924646031453,10,9,3.791939806775073
39,13.0,75.46053762256065,98964.97720987597,8.8,88,1988-01-02 15:00:00-05:00,2,15,0.17635270541082165,0.4194651116026543,Neither,39,0.3284541140084253,88.0,0.0,10,10,4.809289511031801
40,13.0,79.36366887889999,99064.97720987597,9.5,85,1988-01-02 16:00:00-05:00,2,16,0.2982456140350877,0.4194651116026543,Neither,40,0.23911974893182592,85.0,0.0,10,10,4.809289511031801
41,11.9,85.86888763946557,99064.97720987597,9.6,16,1988-01-02 17:00:00-05:00,2,17,0.3018867924528302,0.4194651116026543,Neither,41,0.14912280701754385,16.0,0.0,10,10,3.791939806775073
42,11.9,85.86888763946557,98964.97720987597,9.6,0,1988-01-02 18:00:00-05:00,2,18,0.0,0.4194651116026543,Neither,42,0.1509433962264151,0.0,0.0,8,8,3.329508123022016
43,11.4,88.47097514369179,99064.97720987597,9.6,0,1988-01-02 19:00:00-05:00,2,19,0.0,0.4194651116026543,Neither,43,0.0,0.0,0.0,10,10,4.809289511031801
44,10.8,88.47097514369179,99064.97720987597,9.0,0,1988-01-02 20:00:00-05:00,2,20,0.0,0.4194651116026543,Neither,44,0.0,0.0,0.0,10,10,6.196584562290974
45,10.8,84.56784388735245,99064.97720987597,8.3,0,1988-01-02 21:00:00-05:00,2,21,0.0,0.4194651116026543,Neither,45,0.0,0.0,0.0,10,10,5.271721194784859
46,10.3,88.47097514369179,98964.97720987597,8.5,0,1988-01-02 22:00:00-05:00,2,22,0.0,0.4194651116026543,Neither,46,0.0,0.0,0.0,10,10,6.196584562290974
