,1,5,25,50,75,95,99,date
0,280.9594189453125,281.358984375,283.6013488769531,285.05023193359375,286.9413299560547,287.4510498046875,287.61650390625,1960-01-01
1,283.89845947265627,284.21312255859374,286.27549743652344,287.5356140136719,289.30625915527344,290.63258056640626,290.8281518554688,1960-02-01
2,287.6888757324219,287.7593200683594,288.4055480957031,289.9565124511719,291.6673278808594,293.8359649658203,294.0552301025391,1960-03-01
3,287.4067578125,287.7699951171875,290.2442169189453,293.46368408203125,294.43756103515625,295.52696838378904,295.78354309082033,1960-04-01
4,294.9515362548828,295.34813537597654,297.1033477783203,298.73150634765625,299.8460693359375,301.0805694580078,301.4197027587891,1960-05-01
5,298.127894897461,298.6433807373047,300.8146209716797,303.4511413574219,306.41233825683594,307.44545593261716,307.7743206787109,1960-06-01
6,304.24739746093746,304.29912109375005,304.73268127441406,305.1702880859375,310.14292907714844,312.6785461425781,313.19232543945316,1960-07-01
7,302.41765075683594,302.8273895263672,305.04380798339844,307.4773864746094,309.7686004638672,310.6494110107422,310.72175231933596,1960-08-01
8,298.6712316894531,298.68574829101567,299.8644104003906,301.21990966796875,304.1445617675781,306.07215881347656,306.5791778564453,1960-09-01
9,289.3235400390625,290.44814453125,294.11822509765625,294.8940734863281,295.6141052246094,297.53033142089845,298.1212274169922,1960-10-01
10,284.92668395996094,285.7341278076172,288.9754943847656,289.9375305175781,291.53431701660156,293.5768646240234,294.0557293701172,1960-11-01
11,283.2801239013672,283.37486267089844,283.83961486816406,286.9454040527344,287.3853759765625,287.8249908447266,287.9558673095703,1960-12-01
12,282.59082397460935,282.81203002929686,283.70985412597656,284.31854248046875,286.4816436767578,288.1103698730469,288.1291784667969,1961-01-01
13,280.5046624755859,281.16393737792964,284.4852752685547,286.1550598144531,288.12196350097656,289.38196716308596,289.4028338623047,1961-02-01
14,285.68548461914065,286.05364379882815,287.4195556640625,290.7821350097656,292.2469787597656,292.6742889404297,292.8054876708984,1961-03-01
15,286.78315979003906,287.8890655517578,292.4306335449219,294.2842712402344,295.579345703125,295.8698333740234,295.8956219482422,1961-04-01
16,292.74815185546873,292.7779907226562,294.2213592529297,296.9107666015625,297.4107360839844,299.1991851806641,299.7124444580078,1961-05-01
17,295.8472088623047,296.1770843505859,297.9732208251953,301.0088806152344,306.01466369628906,306.75000915527346,306.87524597167965,1961-06-01
18,303.5924676513672,303.71612243652345,304.28021240234375,304.8116149902344,308.91151428222656,311.02367858886714,311.30908142089845,1961-07-01
19,302.9679809570313,303.56219482421875,305.40028381347656,308.6851806640625,309.42628479003906,310.18080444335936,310.4031530761719,1961-08-01
20,299.0034307861328,299.53778381347655,301.1990966796875,301.7948913574219,303.17523193359375,305.80091247558596,306.3319110107422,1961-09-01
21,290.19652282714844,290.7543426513672,293.4806213378906,294.8000793457031,296.5347595214844,299.3244873046875,299.72712890624996,1961-10-01
22,287.284306640625,287.531396484375,288.41456604003906,288.8790588378906,290.620361328125,291.9087646484375,292.13509765625,1961-11-01
23,283.6860711669922,284.14056091308595,285.6472930908203,286.246826171875,287.9276123046875,289.99257507324216,290.4580364990234,1961-12-01
24,284.6041009521485,284.6403778076172,285.2086486816406,286.2190856933594,287.1269989013672,288.29798889160156,288.6758087158203,1962-01-01
25,282.72552795410155,282.8715362548828,284.23687744140625,286.5247497558594,287.8702392578125,289.75823364257815,290.2255480957031,1962-02-01
26,285.8504431152344,286.55153198242186,289.16639709472656,290.9754638671875,291.6344451904297,293.13348999023435,293.63158081054684,1962-03-01
27,289.41163208007816,289.86907348632815,291.67747497558594,293.8172607421875,295.3155059814453,298.6839996337891,299.3863848876953,1962-04-01
28,293.345376586914,293.7603302001953,295.0367736816406,295.9899597167969,300.7694396972656,301.2820220947266,301.3639727783203,1962-05-01
29,298.64299133300784,298.83055725097654,299.9640655517578,302.2072448730469,303.61109924316406,304.90277404785155,304.9647589111328,1962-06-01
30,301.7190362548828,302.3322418212891,304.96629333496094,306.9557189941406,307.1488952636719,310.18227233886716,311.1981488037109,1962-07-01
31,303.97274291992187,304.2002624511719,305.46311950683594,306.1207580566406,309.5200958251953,311.77825622558595,312.3705438232422,1962-08-01
32,297.7549108886719,298.27479858398436,300.289306640625,302.140380859375,303.0845642089844,305.8796630859375,306.70696289062505,1962-09-01
33,289.33760803222657,289.85637512207035,291.54371643066406,292.4283142089844,294.1966552734375,297.8946899414062,298.79011962890627,1962-10-01
34,284.5224609375,284.7982177734375,286.17124938964844,288.2896728515625,289.3419647216797,292.615576171875,293.417109375,1962-11-01
35,281.7566680908203,281.88905334472656,282.56874084472656,285.5423278808594,287.2674102783203,289.7661407470703,290.5134088134766,1962-12-01
36,283.7447821044922,283.7599212646485,283.86619567871094,284.8651428222656,286.0345001220703,288.09478759765625,288.42078857421876,1963-01-01
37,281.01487426757814,281.0338439941406,281.9242858886719,287.1929016113281,287.49053955078125,293.25549011230464,295.1979974365234,1963-02-01
38,282.4603002929687,283.72630615234374,287.49449157714844,289.9259948730469,291.6082000732422,295.0840087890625,296.2622119140625,1963-03-01
39,287.0491491699219,287.64271850585936,289.8265838623047,291.6063232421875,294.298828125,297.2689544677734,297.7164129638672,1963-04-01
40,291.3102105712891,291.5840118408203,293.9028778076172,296.6924133300781,299.55125427246094,300.1981201171875,300.3815185546875,1963-05-01
41,299.909389038086,299.9572235107422,301.6991424560547,303.7538757324219,304.4646301269531,305.3801635742187,305.62176025390625,1963-06-01
42,304.2831982421875,304.29208984375,304.324951171875,304.4757385253906,308.9145202636719,312.2795440673828,313.30964416503906,1963-07-01
