,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_0_0_4,3549.9,1.23,36337.5,4669.19,1696.74,174591.56,161461.58,22.51,43274.87,135142.93,39448.63,3826.24,22.59,91.16,53141.91,41189.1,11952.81
2_0_0_5,0.0,461.17,12289.53,2841.15,13335.62,64102.28,87517.31,21.44,20484.46,49338.64,14763.64,5720.82,23.03,72.07,21855.8,17392.06,4463.74
2_0_1_4,1992.95,0.0,45159.28,4964.45,1695.52,182151.64,162881.82,24.42,43441.3,142045.48,40106.16,3335.14,22.02,92.32,55420.94,43265.59,12155.35
2_0_1_5,0.0,84.85,17272.61,3783.27,12959.29,70027.49,88517.98,23.35,20682.24,54160.3,15867.19,4815.05,22.66,76.72,23566.94,18769.64,4797.3
2_0_2_4,1808.52,0.0,46792.55,5013.35,1695.51,183649.39,162509.8,24.73,43272.37,143624.71,40024.67,3247.7,21.79,92.49,55871.43,43740.44,12130.99
2_0_2_5,0.0,61.96,18212.56,3958.34,12936.41,71142.51,88274.0,23.66,20581.3,55183.1,15959.41,4621.89,22.43,77.54,23895.72,19070.79,4824.92
2_0_3_4,1709.78,0.0,47534.37,5035.92,1695.51,184315.04,162390.62,24.9,43213.28,144288.11,40026.93,3186.35,21.72,92.63,56078.72,43947.52,12131.2
2_0_3_5,0.0,48.98,18638.27,4037.17,12923.43,71647.05,88212.53,23.83,20547.71,55621.72,16025.33,4522.38,22.37,77.99,24049.11,19204.32,4844.79
2_0_4_4,1711.54,0.0,47959.48,5066.68,1695.51,184772.66,162193.33,24.99,43140.25,144771.97,40000.69,3139.56,21.65,92.72,56214.93,44092.88,12122.05
2_0_4_5,0.0,54.04,18969.7,4092.24,12928.49,72033.55,88053.67,23.92,20494.74,55955.38,16078.17,4416.57,22.32,78.45,24164.91,19304.48,4860.43
2_0_5_4,2197.01,0.0,46492.88,5013.47,1695.52,183738.32,161371.3,24.44,42927.45,143993.11,39745.21,3182.24,21.63,92.59,55901.83,43857.78,12044.05
2_0_5_5,0.0,151.93,17974.95,3899.25,13026.37,70845.8,87493.85,23.38,20329.32,54983.66,15862.14,4467.18,22.39,78.03,23825.61,19030.32,4795.29
2_0_6_4,1829.17,0.0,49894.75,5142.61,1695.52,186901.5,161412.4,25.13,42831.3,147049.78,39851.72,2979.58,21.32,93.04,56863.83,44785.49,12078.35
2_0_6_5,0.0,87.92,20023.97,4269.86,12962.36,73265.44,87604.71,24.06,20318.49,57077.63,16187.81,4130.68,22.09,79.67,24543.98,19649.2,4894.78
2_0_7_4,1656.8,0.0,51742.97,5193.15,1695.51,188627.89,161584.0,25.45,42831.39,148707.03,39920.86,2910.54,21.16,93.2,57390.1,45290.93,12099.17
2_0_7_5,0.0,62.05,21073.05,4462.42,12936.49,74507.07,87619.14,24.38,20296.96,58173.23,16333.84,3963.12,21.92,80.47,24915.06,19976.08,4938.98
2_0_8_4,1553.31,0.0,53432.52,5232.03,1695.51,190252.82,161599.76,25.67,42809.93,150282.49,39970.33,2839.59,21.01,93.37,57879.54,45766.31,12113.23
2_0_8_5,0.0,51.61,21982.56,4629.88,12926.06,75584.04,87635.73,24.6,20285.7,59124.36,16459.68,3826.02,21.78,81.14,25234.13,20257.9,4976.23
2_0_9_4,2167.95,0.0,47384.66,5031.27,1695.51,184618.84,161956.86,24.58,43079.2,144705.99,39912.85,3166.35,21.62,92.65,56162.85,44066.92,12095.93
2_0_9_5,0.0,156.86,18483.17,3989.52,13031.31,71444.29,87846.97,23.51,20424.82,55473.05,15971.23,4453.59,22.35,78.2,24002.43,19174.32,4828.12
2_0_10_4,1652.72,0.0,53802.43,5245.97,1695.52,190736.08,162159.61,25.63,42959.51,150619.84,40116.24,2843.27,21.03,93.38,58017.01,45857.54,12159.47
2_0_10_5,0.0,76.65,22111.79,4645.78,12951.09,75729.18,87985.78,24.55,20382.85,59204.98,16524.21,3858.65,21.82,81.07,25278.29,20281.45,4996.83
2_0_11_4,1190.76,0.0,59997.9,5452.67,1695.52,196676.29,162183.05,26.62,42825.25,156410.24,40266.06,2559.19,20.47,94.02,59810.25,47605.18,12205.07
2_0_11_5,0.0,27.25,25757.01,5300.79,12901.7,80029.41,88056.51,25.55,20343.15,63070.81,16958.6,3384.55,21.19,83.36,26556.33,21427.9,5128.43
2_0_12_4,780.35,0.0,68025.02,5725.92,1694.44,204566.25,162389.56,27.81,42725.33,164071.78,40494.47,2230.86,19.8,94.78,62196.63,49921.02,12275.61
2_0_12_5,0.0,3.26,30376.64,6113.12,12877.7,85461.37,88174.25,26.73,20302.74,68025.63,17435.74,2867.0,20.4,85.88,28182.46,22908.39,5274.07
2_1_0_4,34073.1,1392.96,16144.11,4005.81,3491.04,184596.01,129558.18,13.78,34873.48,153516.2,31079.81,3793.67,16.84,89.12,96601.14,80552.46,16048.68
2_1_0_5,0.0,21977.07,1695.39,1437.33,39270.14,52226.64,66856.92,12.88,14075.9,42231.24,9995.4,4080.5,19.14,71.01,34202.92,29049.26,5153.65
2_1_1_4,27844.44,600.09,19980.83,3964.55,2698.18,182162.82,129398.49,15.54,34611.48,151252.66,30910.15,3701.32,16.97,89.31,95142.65,79184.14,15958.51
2_1_1_5,0.0,15259.63,2689.92,1366.03,32552.7,53149.88,66834.05,14.63,14001.98,42966.19,10183.69,3818.29,19.16,72.73,33452.98,28205.19,5247.79
2_1_2_4,26717.15,495.76,20810.77,3958.34,2593.85,181859.26,129107.64,15.86,34484.28,151047.79,30811.47,3672.81,16.94,89.35,94948.62,79041.48,15907.14
2_1_2_5,0.0,14117.88,2912.26,1364.56,31410.95,53370.74,66659.77,14.96,13929.35,43179.87,10190.87,3738.48,19.09,73.16,33356.49,28105.58,5250.92
2_1_3_4,26517.89,467.99,20869.23,3951.39,2566.08,181711.5,128682.86,15.92,34333.22,151043.31,30668.19,3665.03,16.88,89.33,94862.13,79029.87,15832.26
2_1_3_5,0.0,13858.87,2911.67,1353.73,31151.94,53359.32,66411.7,15.02,13840.54,43209.66,10149.66,3690.88,19.02,73.33,33306.4,28076.71,5229.69
