,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_0_0_4,232.85,0.0,66300.75,6357.99,1557.15,204485.89,234917.04,29.18,62323.96,147832.45,56653.44,5670.52,27.71,90.9,67663.33,48781.22,18882.11
2_0_0_5,0.0,17.23,30318.31,6173.59,11184.92,85644.16,119901.56,27.53,29373.77,62734.27,22909.9,6463.88,26.75,77.99,30247.45,22608.0,7639.45
2_0_1_4,84.01,0.0,89293.37,7149.93,1557.15,228121.62,235167.28,31.58,61847.12,170691.13,57430.48,4416.64,25.18,92.86,75517.26,56377.53,19139.73
2_0_1_5,0.0,0.0,42910.37,8281.1,11167.69,100343.74,120254.53,29.93,29227.5,75493.84,24849.9,4377.59,24.76,85.02,35052.63,26767.42,8285.21
2_0_2_4,77.61,0.0,91660.52,7223.95,1557.15,230556.38,234662.88,31.81,61655.36,173218.16,57338.22,4317.14,24.87,93.0,76318.46,57210.94,19107.53
2_0_2_5,0.0,0.0,44133.12,8472.19,11167.69,101757.58,119950.11,30.16,29113.89,76820.84,24936.73,4177.16,24.51,85.65,35511.88,27198.51,8313.36
2_0_3_4,72.68,0.0,92689.74,7255.82,1557.15,231612.54,234285.88,31.9,61537.9,174321.08,57291.46,4246.44,24.74,93.1,76674.98,57584.6,19090.38
2_0_3_5,0.0,0.0,44644.87,8552.25,11167.69,102349.39,119797.34,30.26,29061.32,77371.23,24978.16,4083.15,24.4,85.95,35708.56,27381.75,8326.82
2_0_4_4,76.87,0.0,91790.13,7222.55,1557.15,230683.86,234262.53,31.84,61541.07,173455.33,57228.53,4312.54,24.81,92.99,76348.4,57277.73,19070.67
2_0_4_5,0.0,0.0,44224.14,8484.6,11167.69,101861.0,119705.97,30.2,29037.98,76962.93,24898.08,4139.9,24.44,85.74,35542.44,27242.17,8300.27
2_0_5_4,116.4,0.0,92697.41,7217.27,1557.15,231625.38,235715.74,31.67,61913.19,174034.74,57590.64,4322.54,24.86,93.02,76698.76,57501.11,19197.65
2_0_5_5,0.0,1.66,44244.89,8497.37,11169.35,101894.52,120489.26,30.02,29262.68,76799.16,25095.36,4167.32,24.63,85.76,35569.05,27199.27,8369.78
2_0_6_4,80.12,0.0,99566.92,7440.84,1557.15,238682.19,236788.1,32.28,62072.66,180675.07,58007.13,4065.54,24.3,93.45,79057.96,59721.41,19336.55
2_0_6_5,0.0,0.0,47406.07,9000.53,11167.69,105558.87,121187.96,30.63,29406.78,79996.92,25561.95,3844.84,24.22,86.93,36765.78,28240.27,8525.52
2_0_7_4,68.11,0.0,105825.82,7643.92,1557.15,245132.16,235857.58,32.92,61664.75,187318.96,57813.2,3851.55,23.58,93.75,81186.77,61916.22,19270.55
2_0_7_5,0.0,0.0,50226.69,9408.55,11167.69,108787.5,120587.6,31.27,29157.44,83077.08,25710.42,3447.02,23.63,88.18,37813.76,29238.62,8575.13
2_0_8_4,56.16,0.0,111954.55,7818.13,1557.16,251423.15,235958.7,33.41,61590.42,193532.34,57890.81,3699.61,23.03,93.99,83257.77,63962.1,19295.67
2_0_8_5,0.0,0.0,52669.24,9780.0,11167.69,111601.5,120648.9,31.76,29128.93,85673.49,25928.01,3200.92,23.23,89.01,38720.23,30073.37,8646.86
2_0_9_4,109.95,0.0,96555.24,7328.22,1557.15,235587.71,237061.38,31.94,62209.01,177561.74,58025.97,4183.04,24.63,93.28,78034.98,58691.19,19343.8
2_0_9_5,0.0,1.25,45864.63,8758.66,11168.94,103775.56,121227.38,30.28,29444.15,78355.76,25419.8,4024.35,24.49,86.33,36187.07,27708.14,8478.93
2_0_10_4,74.01,0.0,111439.23,7792.59,1557.16,250900.14,237174.77,33.25,61930.03,192699.46,58200.68,3729.35,23.2,93.98,83113.8,63713.51,19400.29
2_0_10_5,0.0,0.0,52041.09,9685.75,11167.69,110879.11,121311.72,31.59,29326.39,84859.47,26019.64,3306.74,23.47,88.72,38491.78,29813.53,8678.25
2_0_11_4,37.16,0.0,130033.38,8532.16,1557.16,270197.0,238591.04,34.65,61994.97,211518.69,58678.3,3316.67,21.72,94.65,89521.45,69962.66,19558.79
2_0_11_5,0.0,0.0,57965.18,10546.55,11167.69,117663.99,122189.83,32.99,29439.84,91115.64,26548.35,2891.49,22.56,90.18,40676.74,31823.63,8853.11
2_0_12_4,21.18,0.0,150715.07,11535.63,1558.25,293866.18,239596.58,36.06,61927.98,234816.08,59050.1,2877.87,20.09,95.35,97424.22,77741.49,19682.73
2_0_12_5,0.0,0.0,62553.51,11151.71,11167.69,122857.49,122775.66,34.39,29454.73,96011.04,26846.45,2608.28,21.85,91.14,42341.05,33389.34,8951.71
2_1_0_4,5053.18,36.07,46996.27,5384.9,1816.68,189176.7,220406.14,24.43,58504.19,136209.84,52966.86,5537.33,28.0,90.54,97872.71,70572.6,27300.11
2_1_0_5,0.0,1753.24,18114.3,3851.33,15327.43,71171.47,107354.97,22.81,25673.74,51980.47,19191.0,6482.74,26.96,74.75,39610.58,29697.68,9912.91
2_1_1_4,3387.58,5.38,61161.59,5848.27,1785.98,202139.79,219926.99,26.64,57864.01,148816.25,53323.54,4540.47,26.38,92.15,104580.78,77096.84,27483.95
2_1_1_5,0.0,905.82,25424.65,5085.51,14480.02,79716.0,107142.0,25.03,25396.61,59235.01,20480.98,4915.63,25.69,80.64,43881.4,33301.92,10579.48
2_1_2_4,3229.21,3.7,62988.61,5908.28,1784.31,203868.45,218647.13,26.92,57466.37,150760.82,53107.63,4358.73,26.05,92.42,105476.97,78104.02,27372.96
