,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_0_0_4,1.08,0.0,82999.19,7344.16,1443.74,223754.45,408787.03,33.72,107300.46,128581.25,95173.2,12127.26,42.53,88.7,76165.67,43497.76,32667.91
2_0_0_5,0.0,0.0,39244.6,7711.31,9615.11,95769.95,198362.63,30.74,51608.86,59772.07,35997.88,15610.98,37.59,69.75,34048.51,21665.81,12382.7
2_0_1_4,0.0,0.0,104257.67,8076.77,1443.74,245744.45,407453.16,35.74,106114.66,149758.77,95985.68,10128.98,39.06,90.45,83636.11,50680.35,32955.76
2_0_1_5,0.0,0.0,50562.33,9493.71,9615.11,108870.08,197712.37,32.77,51033.34,70311.06,38559.02,12474.32,35.42,75.56,38403.85,25138.89,13264.97
2_0_2_4,0.0,0.0,110333.11,8281.65,1443.74,252024.78,407214.49,36.24,105852.67,155873.13,96151.65,9701.02,38.15,90.84,85774.27,52755.45,33018.82
2_0_2_5,0.0,0.0,53410.69,9922.88,9615.11,112147.6,197620.08,33.27,50911.28,73033.49,39114.12,11797.16,34.88,76.83,39493.53,26035.94,13457.59
2_0_3_4,0.0,0.0,112814.46,8330.79,1443.74,254555.27,406260.05,36.33,105579.32,158444.55,96110.72,9468.6,37.76,91.03,86616.87,53613.79,33003.08
2_0_3_5,0.0,0.0,54447.09,10094.45,9615.11,113355.58,197126.65,33.37,50760.19,74093.4,39262.18,11498.02,34.64,77.35,39884.18,26377.14,13507.04
2_0_4_4,0.0,0.0,111412.06,8243.55,1443.74,253065.63,406747.86,36.15,105768.06,156872.26,96193.37,9574.69,38.01,90.95,86117.17,53085.99,33031.18
2_0_4_5,0.0,0.0,53743.18,10002.1,9615.11,112559.33,197390.33,33.19,50865.0,73393.53,39165.79,11699.21,34.8,77.0,39621.07,26146.99,13474.08
2_0_5_4,0.0,0.0,116575.04,8334.27,1443.74,258319.33,412360.46,36.22,107181.56,160703.39,97615.94,9565.62,37.79,91.08,87900.84,54385.13,33515.71
2_0_5_5,0.0,0.0,55439.61,10327.59,9615.11,114581.25,200222.34,33.21,51658.98,74769.26,39811.99,11846.99,34.75,77.07,40285.48,26591.6,13693.88
2_0_6_4,0.0,0.0,125014.13,8606.85,1443.74,267030.99,411442.77,36.9,106672.04,169354.4,97676.6,8995.44,36.58,91.57,90845.52,57303.98,33541.54
2_0_6_5,0.0,0.0,58663.61,10775.15,9615.11,118252.81,199740.03,33.9,51397.32,77880.61,40372.2,11025.13,34.14,78.55,41497.81,27611.08,13886.73
2_0_7_4,0.0,0.0,132318.28,8819.66,1443.75,274547.96,409477.76,37.45,105956.55,177074.25,97473.71,8482.85,35.5,91.99,93381.89,59908.75,33473.14
2_0_7_5,0.0,0.0,61171.85,11107.98,9615.11,121093.88,198738.49,34.47,51011.92,80417.56,40676.32,10335.6,33.59,79.74,42433.42,28442.29,13991.13
2_0_8_4,0.0,0.0,138175.8,9019.07,1443.74,280604.89,410071.09,37.95,105901.46,182907.01,97697.88,8203.57,34.82,92.25,95434.08,61881.06,33553.02
2_0_8_5,0.0,0.0,63062.16,11338.68,9615.11,123214.88,199075.09,34.96,51009.64,82219.95,40994.93,10014.71,33.27,80.37,43134.44,29033.32,14101.12
2_0_9_4,0.0,0.0,119380.78,8457.09,1443.74,261247.89,410313.23,36.51,106510.99,164012.3,97235.59,9275.4,37.22,91.29,88873.76,55490.62,33383.14
2_0_9_5,0.0,0.0,56475.17,10445.07,9615.11,115734.29,199179.7,33.52,51296.19,75804.82,39929.47,11366.73,34.5,77.84,40661.82,26929.16,13732.66
2_0_10_4,0.0,0.0,137635.86,8975.99,1443.75,280021.87,413938.66,37.78,106905.51,181513.11,98508.76,8396.75,35.18,92.15,95234.4,61406.46,33827.94
2_0_10_5,0.0,0.0,62384.05,11269.2,9615.11,122467.29,200990.61,34.77,51557.89,81299.12,41168.17,10389.72,33.62,79.85,42887.09,28728.0,14159.09
2_0_11_4,0.0,0.0,157896.22,10138.77,1443.75,301445.01,416810.77,39.16,107073.58,202020.39,99424.62,7648.96,32.98,92.86,102468.08,68321.41,34146.68
2_0_11_5,0.0,0.0,66983.29,11820.12,9615.11,127617.45,202365.22,36.13,51683.54,85677.79,41939.66,9743.88,32.86,81.15,44583.44,30158.91,14424.53
2_0_12_4,0.0,0.0,184833.39,16269.45,1443.75,334512.86,418066.03,40.69,106763.15,234430.57,100082.29,6680.86,29.92,93.74,113684.16,79305.07,34379.09
2_0_12_5,0.0,0.0,70418.01,12172.05,9615.11,131404.1,203040.4,37.64,51580.52,89012.4,42391.7,9188.82,32.26,82.19,45836.01,31255.41,14580.59
2_1_0_4,10.64,0.0,87623.45,7734.69,1577.12,228418.57,412985.89,33.69,107833.45,131312.05,97106.51,10726.93,42.51,90.05,120790.43,69552.4,51238.04
2_1_0_5,0.0,0.0,40465.16,7851.43,11035.62,97000.28,196526.51,30.62,50710.07,59157.12,37843.16,12866.91,39.01,74.63,53169.69,33196.52,19973.17
2_1_1_4,3.77,0.0,109515.57,8527.04,1577.12,251096.17,411067.29,35.78,106355.16,153353.18,97743.0,8612.17,38.93,91.9,132743.81,81168.26,51575.54
2_1_1_5,0.0,0.0,51162.29,9484.73,11035.62,109330.7,195570.56,32.73,49992.94,69144.61,40186.09,9806.85,36.76,80.38,59664.56,38456.29,21208.28
2_1_2_4,2.7,0.0,113736.19,8682.72,1577.12,255471.39,409633.73,36.16,105856.59,157878.67,97592.72,8263.86,38.2,92.19,135055.15,83556.79,51498.35
