,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
12,9.1,100.0,98838.59835173815,9.1,72,1,12,0.1535181236673774,0.19706903200925568,Neither,12,0.18981740699265895,11.797605361126205,70.47544337740193,19.52455662259807,70,5.984246370202296,10,10,2.6515503779646905
13,9.7,100.0,98738.59835173815,9.7,104,1,13,0.2458628841607565,0.19706903200925568,Neither,13,0.1876965618336887,12.797605361126205,71.20980282732991,18.79019717267009,99,15.522949859054599,10,10,6.322927824377339
14,9.7,100.0,98838.59835173815,9.7,71,1,14,0.221875,0.19706903200925568,Neither,14,0.2235231580567096,13.797605361126205,74.42617049455595,15.573829505444053,68,11.174022630016177,10,10,4.181290980636627
15,9.1,100.0,98838.59835173815,9.1,34,1,15,0.20118343195266272,0.19706903200925568,Neither,15,0.19427083333333334,14.797605361126205,79.80536875379903,10.19463124620097,32,11.299912687577452,10,10,4.691204514860606
16,9.1,100.0,99038.59835173815,9.1,3,1,16,0.16666666666666666,0.19706903200925568,Sunset,16,0.20118343195266272,15.797605361126205,86.91174173290668,3.088258267093323,2,18.56176749368464,10,10,5.303100755929381
17,9.1,100.0,99138.59835173815,9.1,0,1,17,0.0,0.19706903200925568,Neither,17,0.08333333333333333,16.797605361126205,95.30675915038707,-5.306759150387066,0,-0.0,10,10,3.1614639121886694
18,9.1,100.0,99238.59835173815,9.1,0,1,18,0.0,0.19706903200925568,Neither,18,0.0,17.797605361126205,104.60322071904191,-14.603220719041914,0,-0.0,10,10,5.81301429015336
19,9.1,100.0,99338.59835173815,9.1,0,1,19,0.0,0.19706903200925568,Neither,19,0.0,18.797605361126205,114.46632297194455,-24.46632297194455,0,-0.0,10,9,5.81301429015336
20,8.7,100.0,99438.59835173815,8.7,0,1,20,0.0,0.19706903200925568,Neither,20,0.0,19.797605361126205,124.5798070841437,-34.579807084143695,0,-0.0,8,7,6.322927824377339
21,9.1,100.0,99538.59835173815,9.1,0,1,21,0.0,0.19706903200925568,Neither,21,0.0,20.797605361126205,134.5763973015815,-44.576397301581494,0,-0.0,8,8,7.8526684270492755
22,9.1,100.0,99738.59835173815,9.1,0,1,22,0.0,0.19706903200925568,Neither,22,0.0,21.797605361126205,143.8938210931754,-53.893821093175404,0,-0.0,9,9,6.832841358601318
23,9.1,100.0,99838.59835173815,9.1,0,1,23,0.0,0.19706903200925568,Neither,23,0.0,22.797605361126205,151.4650891233163,-61.46508912331629,0,-0.0,10,10,7.8526684270492755
24,9.7,100.0,99838.59835173815,9.7,0,2,0,0.0,0.2338957055214724,Neither,24,0.0,-0.20984254462005308,155.3464732527786,-65.3464732527786,0,-0.0,10,10,7.8526684270492755
25,9.1,100.0,99938.59835173815,9.1,0,2,1,0.0,0.2338957055214724,Neither,25,0.0,0.7901574553799469,153.74294480760057,-63.742944807600566,0,-0.0,10,10,6.832841358601318
26,9.1,100.0,99938.59835173815,9.1,0,2,2,0.0,0.2338957055214724,Neither,26,0.0,1.7901574553799469,147.48538392539345,-57.48538392539345,0,-0.0,10,10,6.832841358601318
27,9.7,100.0,99938.59835173815,9.7,0,2,3,0.0,0.2338957055214724,Neither,27,0.0,2.790157455379947,138.7463013161477,-48.74630131614771,0,-0.0,10,10,7.342754892825297
28,9.1,100.0,99838.59835173815,9.1,0,2,4,0.0,0.2338957055214724,Neither,28,0.0,3.790157455379947,128.95205024336911,-38.952050243369115,0,-0.0,10,10,5.303100755929381
29,9.1,100.0,99838.59835173815,9.1,0,2,5,0.0,0.2338957055214724,Neither,29,0.0,4.790157455379947,118.83259192549785,-28.83259192549785,0,-0.0,10,10,6.832841358601318
30,9.1,100.0,99838.59835173815,9.1,0,2,6,0.0,0.2338957055214724,Neither,30,0.0,5.790157455379947,108.81484695688752,-18.81484695688752,0,-0.0,10,10,5.303100755929381
31,9.7,100.0,99838.59835173815,9.7,0,2,7,0.0,0.2338957055214724,Sunrise,31,0.13978494623655913,6.790157455379947,99.22557312369591,-9.22557312369591,0,-0.0,10,10,3.6713774464126483
32,9.7,100.0,99838.59835173815,9.7,13,2,8,0.13978494623655913,0.2338957055214724,Neither,32,0.11877394636015326,7.790157455379947,90.38545482602522,-0.3854548260252244,12,0.0,10,10,5.303100755929381
33,9.7,100.0,99838.59835173815,9.7,62,2,9,0.23754789272030652,0.2338957055214724,Neither,33,0.20460749902501532,8.790157455379948,82.65674339827791,7.343256601722089,59,23.471713141500583,10,10,3.1614639121886694
34,11.2,86.35811417612214,99838.59835173815,9.0,104,2,10,0.2694300518134715,0.2338957055214724,Neither,34,0.27816259264836285,9.790157455379948,76.45913365348677,13.540866346513226,98,25.62581994760153,10,10,5.303100755929381
35,11.8,76.62762243796755,99738.59835173815,7.8,146,2,11,0.31877729257641924,0.2338957055214724,Neither,35,0.22070228705323258,10.790157455379948,72.24134987539009,17.758650124609915,136,32.7860164968795,10,10,4.691204514860606
36,10.8,93.6559829797381,99638.59835173815,9.8,81,2,12,0.17197452229299362,0.2338957055214724,Neither,36,0.25232982275879784,11.790157455379948,70.39128375728095,19.608716242719055,78,8.93934977371042,10,10,4.181290980636627
37,11.2,86.35811417612214,99438.59835173815,9.0,79,2,13,0.18588235294117647,0.2338957055214724,Neither,37,0.20827828281832345,12.790157455379948,71.10610751616647,18.893892483833525,76,9.264504364373838,10,10,3.6713774464126483
38,10.8,93.6559829797381,99138.59835173815,9.8,79,2,14,0.24458204334365324,0.2338957055214724,Neither,38,0.21794117647058825,13.790157455379948,74.30739843311886,15.692601566881137,75,14.788735471013943,10,10,5.81301429015336
39,10.8,90.00704857793012,99038.59835173815,9.2,43,2,15,0.25,0.2338957055214724,Neither,39,0.20123839009287925,14.790157455379948,79.67638799312121,10.32361200687879,41,11.160236856025653,10,10,6.322927824377339
40,11.8,83.9254912415835,99038.59835173815,9.2,3,2,16,0.15789473684210525,0.2338957055214724,Sunset,40,0.25,15.790157455379948,86.77662283398547,3.2233771660145294,2,17.784457566045212,10,10,8.362581961273253
41,12.3,80.27655683977552,98838.59835173815,9.0,0,2,17,0.0,0.2338957055214724,Neither,41,0.07894736842105263,16.790157455379948,95.16835027677071,-5.16835027677071,0,-0.0,10,10,7.342754892825297
42,11.8,83.9254912415835,98838.59835173815,9.2,0,2,18,0.0,0.2338957055214724,Neither,42,0.0,17.790157455379948,104.4632568164805,-14.463256816480495,0,-0.0,10,10,7.8526684270492755
43,11.2,90.00704857793012,98738.59835173815,9.6,0,2,19,0.0,0.2338957055214724,Neither,43,0.0,18.790157455379948,114.32571391288992,-24.325713912889924,0,-0.0,10,10,5.81301429015336
44,10.2,100.0,98638.59835173815,10.2,0,2,20,0.0,0.2338957055214724,Neither,44,0.0,19.790157455379948,124.43895769585902,-34.43895769585902,0,-0.0,10,10,4.691204514860606
45,9.7,100.0,98338.59835173815,9.7,0,2,21,0.0,0.2338957055214724,Neither,45,0.0,20.790157455379948,134.4356812327708,-44.435681232770804,0,-0.0,10,10,4.691204514860606
46,9.7,100.0,98238.59835173815,9.7,0,2,22,0.0,0.2338957055214724,Neither,46,0.0,21.790157455379948,143.75486358573377,-53.75486358573377,0,-0.0,10,10,4.691204514860606
47,10.2,97.30491738154609,98038.59835173815,9.8,0,2,23,0.0,0.2338957055214724,Neither,47,0.0,22.790157455379948,151.33486491589264,-61.33486491589264,0,-0.0,10,10,5.303100755929381
48,10.2,100.0,97938.59835173815,10.2,0,3,0,0.0,0.2834855403348554,Neither,48,0.0,-0.21721944915533034,155.24437719400458,-65.24437719400458,0,-0.0,10,10,2.6515503779646905
49,11.8,93.6559829797381,97938.59835173815,10.8,0,3,1,0.0,0.2834855403348554,Neither,49,0.0,0.7827805508446697,153.68787861083894,-63.687878610838936,0,-0.0,10,10,2.6515503779646905
50,11.2,97.30491738154609,97938.59835173815,10.8,0,3,2,0.0,0.2834855403348554,Neither,50,0.0,1.7827805508446697,147.46910421802485,-57.46910421802485,0,-0.0,10,10,1.5297406026719367
51,11.2,100.0,97938.59835173815,11.2,0,3,3,0.0,0.2834855403348554,Neither,51,0.0,2.7827805508446697,138.75106261800897,-48.75106261800897,0,-0.0,10,10,5.81301429015336
52,10.8,100.0,98038.59835173815,10.8,0,3,4,0.0,0.2834855403348554,Neither,52,0.0,3.7827805508446697,128.9655020122636,-38.96550201226361,0,-0.0,10,10,6.832841358601318
53,10.8,100.0,98038.59835173815,10.8,0,3,5,0.0,0.2834855403348554,Neither,53,0.0,4.782780550844669,118.84708171070831,-28.84708171070831,0,-0.0,10,10,6.322927824377339
54,10.8,100.0,98138.59835173815,10.8,0,3,6,0.0,0.2834855403348554,Neither,54,0.0,5.782780550844669,108.82506299386168,-18.82506299386168,0,-0.0,10,10,4.691204514860606
55,10.2,100.0,98238.59835173815,10.2,0,3,7,0.0,0.2834855403348554,Sunrise,55,0.2765957446808511,6.782780550844669,99.22717934950714,-9.22717934950714,0,-0.0,10,10,5.303100755929381
56,10.2,100.0,98338.59835173815,10.2,26,3,8,0.2765957446808511,0.2834855403348554,Neither,56,0.15267175572519084,7.782780550844669,90.37443535761003,-0.3744353576100252,24,0.0,10,10,5.81301429015336
57,10.2,100.0,98438.59835173815,10.2,80,3,9,0.3053435114503817,0.2834855403348554,Neither,57,0.3908751919280544,8.78278055084467,82.62922449754842,7.370775502451579,73,54.5639789261271,10,10,5.303100755929381
58,10.8,100.0,98438.59835173815,10.8,196,3,10,0.5051546391752577,0.2834855403348554,Neither,58,0.24288914702953868,9.78278055084467,76.41167974687495,13.588320253125048,152,187.27869144234558,8,7,4.691204514860606
59,10.8,100.0,98538.59835173815,10.8,83,3,11,0.18043478260869567,0.2834855403348554,Neither,59,0.40869546304754445,10.78278055084467,72.17176824919119,17.82823175080881,79,13.064875521206849,10,10,5.81301429015336
60,11.8,93.6559829797381,98438.59835173815,10.8,148,3,12,0.31223628691983124,0.2834855403348554,Neither,60,0.24675944737911418,11.78278055084467,70.29965176324747,19.700348236752532,137,32.631171768561515,9,9,5.81301429015336
61,11.8,93.6559829797381,98438.59835173815,10.8,134,3,13,0.3130841121495327,0.2834855403348554,Neither,61,0.22820403303046777,12.78278055084467,70.99520856737603,19.004791432623975,124,30.708076955343248,10,10,5.81301429015336
62,11.2,97.30491738154609,98438.59835173815,10.8,47,3,14,0.1441717791411043,0.2834855403348554,Neither,62,0.23368491321762347,13.78278055084467,74.18190601901395,15.818093980986049,45,7.337185071618327,10,10,3.1614639121886694
63,10.8,100.0,98538.59835173815,10.8,27,3,15,0.15428571428571428,0.2834855403348554,Neither,63,0.16732398480864738,14.78278055084467,79.54128867318624,10.458711326813756,26,5.508824750700752,10,10,4.691204514860606
64,10.2,100.0,98538.59835173815,10.2,4,3,16,0.19047619047619047,0.2834855403348554,Sunset,64,0.15428571428571428,15.78278055084467,86.635999595781,3.3640004042189986,3,17.04182646509276,10,10,3.6713774464126483
65,10.2,100.0,98538.59835173815,10.2,0,3,17,0.0,0.2834855403348554,Neither,65,0.09523809523809523,16.78278055084467,95.02498335068941,-5.024983350689411,0,-0.0,10,10,5.303100755929381
66,9.7,100.0,98638.59835173815,9.7,0,3,18,0.0,0.2834855403348554,Neither,66,0.0,17.78278055084467,104.31876109002565,-14.318761090025646,0,-0.0,10,10,3.6713774464126483
67,10.2,100.0,98738.59835173815,10.2,0,3,19,0.0,0.2834855403348554,Neither,67,0.0,18.78278055084467,114.18083987994298,-24.18083987994298,0,-0.0,10,10,5.303100755929381
68,10.2,97.30491738154609,98738.59835173815,9.8,0,3,20,0.0,0.2834855403348554,Neither,68,0.0,19.78278055084467,124.29390416994043,-34.29390416994043,0,-0.0,9,9,6.322927824377339
69,10.2,93.6559829797381,98838.59835173815,9.2,0,3,21,0.0,0.2834855403348554,Neither,69,0.0,20.78278055084467,134.29053912702247,-44.29053912702247,0,-0.0,10,10,5.81301429015336
70,10.2,93.6559829797381,98838.59835173815,9.2,0,3,22,0.0,0.2834855403348554,Neither,70,0.0,21.78278055084467,143.61084575132298,-53.610845751322984,0,-0.0,10,10,5.303100755929381
71,9.7,100.0,98938.59835173815,9.7,0,3,23,0.0,0.2834855403348554,Neither,71,0.0,22.78278055084467,151.19839275913947,-61.198392759139466,0,-0.0,10,10,4.691204514860606
72,9.1,100.0,98938.59835173815,9.1,0,4,0,0.0,0.24272211720226844,Neither,72,0.0,-0.22451848634884677,155.13459262920782,-65.13459262920782,0,-0.0,10,10,3.6713774464126483
73,9.1,100.0,98938.59835173815,9.1,0,4,1,0.0,0.24272211720226844,Neither,73,0.0,0.7754815136511533,153.62470359633846,-63.62470359633846,0,-0.0,10,10,2.6515503779646905
74,9.1,100.0,98938.59835173815,9.1,0,4,2,0.0,0.24272211720226844,Neither,74,0.0,1.7754815136511533,147.44538465513938,-57.44538465513938,0,-0.0,10,10,3.6713774464126483
75,8.7,100.0,99038.59835173815,8.7,0,4,3,0.0,0.24272211720226844,Neither,75,0.0,2.7754815136511533,138.74908121855307,-48.74908121855307,0,-0.0,10,10,4.181290980636627
76,8.7,100.0,99038.59835173815,8.7,0,4,4,0.0,0.24272211720226844,Neither,76,0.0,3.7754815136511533,128.97260740142258,-38.97260740142258,0,-0.0,8,7,4.181290980636627
77,8.1,100.0,99038.59835173815,8.1,0,4,5,0.0,0.24272211720226844,Neither,77,0.0,4.775481513651153,118.85535911595048,-28.855359115950478,0,-0.0,8,7,4.181290980636627
78,9.1,100.0,99038.59835173815,9.1,0,4,6,0.0,0.24272211720226844,Neither,78,0.0,5.775481513651153,108.82901262912665,-18.82901262912665,0,-0.0,10,9,5.303100755929381
79,8.7,100.0,99038.59835173815,8.7,0,4,7,0.0,0.24272211720226844,Sunrise,79,0.1276595744680851,6.775481513651153,99.22233360994622,-9.222333609946219,0,-0.0,10,9,7.342754892825297
80,8.7,100.0,99138.59835173815,8.7,12,4,8,0.1276595744680851,0.24272211720226844,Neither,80,0.06463878326996197,7.775481513651153,90.35669245474682,-0.35669245474682043,11,0.0,10,10,3.1614639121886694
81,8.7,100.0,99238.59835173815,8.7,34,4,9,0.12927756653992395,0.24272211720226844,Neither,81,0.19107914456052072,8.775481513651153,82.59467397919775,7.405326020802249,33,7.758687537461912,10,10,3.1614639121886694
82,9.7,100.0,99238.59835173815,9.7,99,4,10,0.2544987146529563,0.24272211720226844,Neither,82,0.196673415304594,9.775481513651153,76.35691512225142,13.643084877748578,94,21.197853839932467,10,10,2.6515503779646905
83,9.7,100.0,99238.59835173815,9.7,122,4,11,0.26406926406926406,0.24272211720226844,Neither,83,0.2554006178306798,10.775481513651153,72.09471228822801,17.90528771177199,115,22.768341699000157,10,10,2.6515503779646905
84,10.8,100.0,99238.59835173815,10.8,122,4,12,0.25630252100840334,0.24272211720226844,Neither,84,0.255004469621639,11.775481513651153,70.20058535560737,19.799414644392627,116,17.7133114100914,10,9,2.6515503779646905
85,10.8,97.30491738154609,99238.59835173815,10.4,106,4,13,0.2459396751740139,0.24272211720226844,Neither,85,0.2740479170391561,12.775481513651153,70.87716332056678,19.12283667943322,101,15.262771215681065,10,8,2.6515503779646905
86,10.8,93.6559829797381,99238.59835173815,9.8,96,4,14,0.2917933130699088,0.24272211720226844,Neither,86,0.2542547537881243,13.775481513651153,74.04976871296796,15.95023128703204,90,21.833880521031645,10,8,3.1614639121886694
87,10.8,97.30491738154609,99338.59835173815,10.4,47,4,15,0.26256983240223464,0.24272211720226844,Neither,87,0.2368057474440453,14.775481513651153,79.40016155011782,10.599838449882185,44,16.308905531821498,9,7,2.6515503779646905
88,10.2,97.30491738154609,99338.59835173815,9.8,4,4,16,0.18181818181818182,0.24272211720226844,Sunset,88,0.26256983240223464,15.775481513651153,86.48997420690966,3.5100257930903354,3,16.333678678007313,8,7,2.6515503779646905
89,9.7,97.30491738154609,99438.59835173815,9.3,0,4,17,0.0,0.24272211720226844,Neither,89,0.09090909090909091,16.775481513651155,94.87676805680813,-4.876768056808132,0,-0.0,8,8,2.6515503779646905
90,8.1,100.0,99438.59835173815,8.1,0,4,18,0.0,0.24272211720226844,Neither,90,0.0,17.775481513651155,104.16984738433612,-14.169847384336123,0,-0.0,3,2,2.1416368437407116
